年次,Year,調査世帯数 Num. of households surveyed,世帯人員 Num. of persons per household,有業人員 Num. of earners per household,世帯主平均年齢 Average age of household head,生計支出 Living expenses,生計支出 Living expenses／消費支出 Consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／穀類 Cereals,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／魚介類 Fish & shellfish,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／肉類 Meat,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／乳卵類 Dairy products & eggs,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／野菜・海藻 Vegetables & seaweeds,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／果物 Fruits,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／油脂・調味料 Oils， fats & seasonings,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／菓子類 Cakes & candies,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／調理食品 Cooked food,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／飲料 Beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／酒類 Alcoholic beverages,生計支出 Living expenses／消費支出 Consumption expenditures／食料 Food／外食 Meals outside the home,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／家賃地代 Rents for dwelling & land,生計支出 Living expenses／消費支出 Consumption expenditures／住居 Housing／設備修繕・維持 Repairs & maintenance,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／電気代 Electricity,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／ガス代 Gas,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／他の光熱 Other fuel & light,生計支出 Living expenses／消費支出 Consumption expenditures／光熱・水道 Fuel， light & water charges／上下水道料 Water & sewerage charges,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家庭用耐久財 Household durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／室内装備・装飾品 Interior furnishings & decorations,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／寝具類 Bedding,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事雑貨 Domestic utensils,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事用消耗品 Domestic non-durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／家具・家事用品 Furniture & household utensils／家事サービス Domestic services,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／和服 Japanese clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／洋服 Clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／シャツ・セーター類 Shirts & sweaters,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／下着類 Underwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／生地・糸類 Cloth & thread,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／他の被服 Other clothing,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／履物類 Footwear,生計支出 Living expenses／消費支出 Consumption expenditures／被服及び履物 Clothing & footwear／被服関連サービス Services related to clothing,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／医薬品 Medicines,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／健康保持用摂取品 Health fortification,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療用品・器具 Medical supplies & appliances,生計支出 Living expenses／消費支出 Consumption expenditures／保健医療 Medical care／保健医療サービス Medical services,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／交通 Public transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／自動車等関係費 Private transportation,生計支出 Living expenses／消費支出 Consumption expenditures／交通・ 通信 Transportation & communication／通信 Communication,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／授業料等 School fees,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／教科書・学習参考教材 School textbooks & reference books for study,生計支出 Living expenses／消費支出 Consumption expenditures／教育 Education／補習教育 Tutorial fees,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用耐久財 Recreational durable goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽用品 Recreational goods,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／書籍・他の印刷物 Books & other reading materials,生計支出 Living expenses／消費支出 Consumption expenditures／教養娯楽 Culture & recreation／教養娯楽サービス Recreational services,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／諸雑費 Miscellaneous,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／こづかい Pocket money,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／交際費 Social expenses,生計支出 Living expenses／消費支出 Consumption expenditures／その他の消費支出 Other consumption expenditures／仕送り金 Remittance,生計支出 Living expenses／土地家屋購入 Purchase of house and land
平成24,2012,754,2.97,1.29,57.2,328955,321982,78922,6625,6490,6418,3693,9778,3093,3336,5327,9733,4393,3454,16582,25580,16035,9545,23122,10282,7105,458,5277,11094,3364,1176,841,2478,2467,768,14776,167,5925,2954,1228,158,1184,1916,1246,15568,2569,1367,2443,9189,35244,9179,14493,11572,19271,14378,279,4613,36575,2658,6691,4403,22823,61832,25251,12132,22651,1797,6973
平成25,2013,753,3.02,1.3,57.3,345213,333423,80264,6657,6350,6754,3715,9844,3110,3358,5638,9618,4603,3383,17235,29540,18347,11193,23605,11175,6811,387,5231,11264,3703,800,1079,2328,2564,790,15276,170,6178,3034,1242,180,1173,2080,1218,15676,2595,1287,2569,9224,37703,9381,16414,11908,17517,13338,255,3924,38107,2473,6780,4440,24415,64471,27018,10793,23395,3265,11790
平成26,2014,745,2.98,1.29,58.8,327418,324036,81162,6522,6586,7277,3947,10160,3289,3517,5697,10009,4422,3482,16255,25459,15364,10095,23893,11249,7084,458,5103,11920,4073,815,971,2429,2686,947,15231,302,6062,2988,1178,142,1234,2158,1167,15326,2725,1316,2365,8920,36670,8701,16147,11822,15303,11220,224,3859,38299,2360,7318,4401,24221,60775,26111,10374,22006,2283,3381
平成27,2015,743,2.96,1.29,59,331379,326795,83742,6498,6798,7455,4207,10704,3517,3553,5828,10255,4396,3456,17076,25136,16546,8590,23312,10848,7002,281,5181,11154,3618,890,814,2330,2630,872,15219,233,6567,2924,1144,143,1137,2022,1048,15250,2614,1293,2247,9095,35376,8766,14044,12566,18994,14780,253,3961,37562,2053,6808,4301,24400,61052,25656,9613,22076,3706,4584
平成28,2016,735,2.99,1.31,59.1,321733,320605,84611,6435,6777,7514,4298,10501,3488,3579,5801,11152,4610,3322,17135,24703,15636,9067,20563,9459,5740,234,5131,11219,3621,938,822,2231,2791,816,14495,187,6020,2822,1184,118,1018,1981,1166,15045,2569,1301,2464,8710,33439,8805,12021,12612,19946,15129,197,4620,36360,1989,6896,4042,23434,60225,26043,10200,20390,3592,1128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 14  家計 14  FAMILY INCOME AND EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-1  １世帯当たり年平均１か月間の用途別生計支出（全世帯）（平成24～28年） 14-1 MONTHLY AVERAGE OF LIVING EXPENSES BY USE PER HOUSEHOLD ( ALL HOUSEHOLDS ) ( 2012-2016 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局統計部社会統計課 「都民のくらしむき（東京都生計分析調査）年報」（ホームページ） Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(単位　金額　円) (Value in yen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
