年次,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
平成28,2016,9,Sept.,乗船者, Boarding passengers,114282,-,1339,-,49,31043,14008,3149,2319,2792,79059,-
平成28,2016,10,Oct.,乗船者, Boarding passengers,83994,-,1370,-,78,21267,12602,2868,929,1858,59421,-
平成28,2016,11,Nov.,乗船者, Boarding passengers,67809,-,1144,-,48,18541,11469,2694,1201,2195,45517,364
平成28,2016,12,Dec.,乗船者, Boarding passengers,66654,-,1678,-,50,17777,11839,2227,1014,2119,45030,-
平成24,2012,,,降船者, Deboarding passengers,855979,-,10957,-,1288,248394,124462,35332,9796,33458,561879,3
平成25,2013,,,降船者, Deboarding passengers,873524,-,15818,257,1102,255879,139055,34447,9468,33591,561582,5295
平成26,2014,,,降船者, Deboarding passengers,741908,-,12783,-,394,234259,133048,28025,7606,28440,453904,12128
平成27,2015,,,降船者, Deboarding passengers,779509,-,15445,395,393,239143,136443,27833,9646,25397,487654,11082
平成28,2016,,,降船者, Deboarding passengers,910930,6,15517,-,412,260659,156877,25979,9904,27899,601459,4978
平成28,2016,1,Jan.,降船者, Deboarding passengers,37052,-,959,-,37,12839,10324,1345,378,1483,21734,-
平成28,2016,2,Feb.,降船者, Deboarding passengers,35328,-,609,-,37,13080,10920,1111,524,2119,19218,265
平成28,2016,3,Mar.,降船者, Deboarding passengers,60828,-,1640,-,46,20907,16681,1754,761,2973,35262,-
平成28,2016,4,Apr.,降船者, Deboarding passengers,46395,-,1507,-,38,10958,8437,1375,313,1601,32291,-
平成28,2016,5,May,降船者, Deboarding passengers,79139,-,1575,-,15,24980,12744,2840,1323,2444,46275,3850
平成28,2016,6,June,降船者, Deboarding passengers,56618,6,737,-,39,17172,10478,2151,455,1843,36821,-
平成28,2016,7,July,降船者, Deboarding passengers,123167,-,983,-,38,31751,15098,2800,1135,2709,87231,455
平成28,2016,8,Aug.,降船者, Deboarding passengers,152222,-,2955,-,39,50981,21889,3764,2414,4183,94064,-
平成28,2016,9,Sept.,降船者, Deboarding passengers,111454,-,1281,-,28,28656,14126,2449,1294,2399,79047,43
平成28,2016,10,Oct.,降船者, Deboarding passengers,81759,-,1251,-,45,18726,12467,2635,472,2316,59421,-
平成28,2016,11,Nov.,降船者, Deboarding passengers,64725,-,1043,-,19,16161,12124,2072,516,1985,45517,-
平成28,2016,12,Dec.,降船者, Deboarding passengers,62243,-,977,-,31,14448,11589,1683,319,1844,44578,365
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,
4-20　航路別乗降船人員 (平成24～28年)（東京港） 4-20 NUMBER OF PASSENGERS BY VESSEL ROUTE ( 2012-2016 )( Port of Tokyo ),,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,
