年度末,End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Overdrafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／コールローン・買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／コールマネー・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money
平成24,2012,総数,Total,99,1109,1768816,4345,36070,1416333,311946,1706557,129396,7555,1998574,26505,11851,218174,1857786,1066976,646351,144372,1712472,1683886,282785,218892,210738
平成25,2013,総数,Total,98,1127,1820402,3946,37356,1455844,323151,1757901,25685,3837,1694990,30042,16617,657315,1935184,1126543,655789,152770,1779135,1756798,275185,138287,259011
平成26,2014,総数,Total,98,1133,1875314,3593,36261,1514416,320927,1812455,18498,1679,1643081,25756,11719,1003517,2029151,1198126,663991,166955,1866372,1844132,291274,136096,320158
平成27,2015,総数,Total,98,1152,1935843,3114,33136,1592299,307184,1872709,15806,3324,1492346,26064,9804,1342943,2200506,1368139,661177,171105,1985175,2014431,246309,45226,336049
平成28,2016,総数,Total,98,1160,1998968,2696,29904,1652622,313635,1935001,11641,741,1429516,25780,8338,1709827,2357380,1547766,637571,171962,2115373,2165234,235536,26487,469465
平成28,2016,4,Apr.,,1155,1914719,3195,35602,1587684,288130,1851873,9498,7210,1431501,29169,12300,1401892,2214125,1378289,664316,171441,2011948,2026099,230114,71356,329793
平成28,2016,5,May,,1158,1909535,2642,35599,1588284,282897,1847011,10529,7761,1420218,29212,12206,1427706,2240998,1359163,653932,227810,1998479,2054230,218604,55054,324908
平成28,2016,6,June,,1159,1909481,2673,35433,1580993,290274,1846938,8757,7836,1384646,24257,7424,1490473,2205855,1387927,648353,169482,2001626,2018078,215373,66105,319168
平成28,2016,7,July,,1159,1905735,2908,33342,1587963,281410,1843127,7416,5674,1387062,20279,4457,1501633,2183100,1379499,651499,152017,1993648,1995130,229476,64629,334576
平成28,2016,8,Aug.,,1159,1906492,2400,32840,1592002,279135,1844109,6791,7243,1375044,24821,8434,1539901,2203272,1368240,646089,188856,1990154,2016235,228079,71226,334962
平成28,2016,9,Sept.,,1159,1932895,2529,28559,1607068,294634,1870060,6833,5074,1384836,24032,7969,1571380,2249347,1432206,647042,170008,2020061,2062960,217130,58210,365177
平成28,2016,10,Oct.,,1160,1928598,2423,33024,1613355,279683,1865980,6336,6028,1358363,30414,13572,1603337,2255752,1429739,645416,180515,2035298,2068676,223420,64654,376723
平成28,2016,11,Nov.,,1162,1949044,2439,34299,1626261,285935,1886298,12245,5188,1387880,26380,9704,1610725,2305876,1437619,641858,226315,2062491,2118975,222390,54311,382009
平成28,2016,12,Dec.,,1162,1979156,2970,36679,1646891,292507,1916137,12678,4803,1390562,21720,3515,1621591,2271957,1460115,643524,168232,2070698,2081420,219636,57334,423536
平成29,2017,1,Jan.,,1162,1975652,2567,37017,1641651,294308,1912639,16768,4871,1365592,31942,14544,1690820,2295219,1449889,645148,200091,2067370,2104949,228591,63380,428622
平成29,2017,2,Feb.,,1163,1979528,2525,35092,1644175,297613,1916378,11480,4574,1361234,23248,6444,1679371,2283202,1444136,640681,198302,2057418,2092864,222235,53824,435154
平成29,2017,3,Mar.,,1162,1998968,2696,29904,1652622,313635,1935001,11641,741,1429516,25780,8338,1709827,2357380,1547766,637571,171962,2115373,2165234,235536,26487,469465
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成24～28年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2012-2016 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表の「銀行」とは都市銀行，地方銀行，第二地方銀行協会加盟の地方銀行，信託銀行，新生銀行，あおぞら銀行及び農林中央金庫をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会パブリック・リレーション部　Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
