地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,9232725,148275,9150781,16465,1920248,72214,2857939,502,34024,59094,4338570,1788,81944,285,16722,488,17645,981,46417,34,1160
1,13100,,区部,All ku,6663364,114871,6608981,10114,1208464,59272,2297787,462,29305,45023,3073425,1055,54383,128,8528,224,9727,676,35288,27,840
5,13101,1,千代田区,Chiyoda-ku,118684,1600,117923,17,2529,720,38799,20,1331,843,75264,11,761,-,-,1,45,10,716,-,-
5,13102,2,中央区,Chuo-ku,203096,2951,202821,38,5354,972,49859,9,646,1932,146962,1,275,-,-,-,-,1,275,-,-
5,13103,3,港区,Minato-ku,213479,2944,213020,109,18258,920,44494,10,1126,1905,149142,19,459,1,14,4,88,13,327,1,30
5,13104,4,新宿区,Shinjuku-ku,250660,4973,249633,247,29387,3042,117299,14,1485,1670,101462,20,1027,1,169,5,110,13,719,1,29
5,13105,5,文京区,Bunkyo-ku,166298,2514,166280,245,28980,860,42903,2,182,1407,94215,1,18,-,-,1,18,-,-,-,-
5,13106,6,台東区,Taito-ku,274256,5334,274140,224,26178,2493,105696,44,2683,2573,139583,4,116,1,16,1,16,-,-,2,84
5,13107,7,墨田区,Sumida-ku,207655,4294,207175,253,28265,1935,74345,14,764,2092,103801,17,480,-,-,-,-,17,480,-,-
5,13108,8,江東区,Koto-ku,254599,5312,253157,222,24950,2523,98776,29,2424,2538,127007,32,1442,2,295,1,53,29,1094,-,-
5,13109,9,品川区,Shinagawa-ku,474695,7943,471561,462,51741,3306,119640,10,514,4165,299666,32,3134,3,66,2,24,27,3044,-,-
5,13110,10,目黒区,Meguro-ku,195237,2889,194109,511,67382,1712,71822,7,1956,659,52949,24,1128,7,747,8,174,9,207,-,-
5,13111,11,大田区,Ota-ku,450658,8484,448618,911,103124,4850,172070,38,1785,2685,171639,69,2040,15,563,12,283,42,1194,-,-
5,13112,12,世田谷区,Setagaya-ku,660342,9832,655101,1599,198552,5107,210543,52,2282,3074,243724,116,5241,22,2234,16,363,56,1968,22,676
5,13113,13,渋谷区,Shibuya-ku,199810,3098,199323,246,38294,1746,78404,4,647,1102,81978,3,487,1,46,2,441,-,-,-,-
5,13114,14,中野区,Nakano-ku,273060,5277,269591,331,38124,3265,121278,8,405,1673,109784,62,3469,7,180,4,61,50,3207,1,21
5,13115,15,杉並区,Suginami-ku,358132,5946,355037,877,103368,3295,121937,50,2169,1724,127563,47,3095,14,910,10,1338,23,847,-,-
5,13116,16,豊島区,Toshima-ku,145899,2834,145337,344,36313,1902,70640,2,237,586,38147,5,562,4,550,1,12,-,-,-,-
5,13117,17,北区,Kita-ku,324978,5570,314606,391,42465,2613,96745,33,3205,2533,172191,96,10372,2,26,12,234,82,10112,-,-
5,13118,18,荒川区,Arakawa-ku,136310,2594,135545,196,22883,1435,52023,2,112,961,60527,23,765,1,132,4,65,18,568,-,-
5,13119,19,板橋区,Itabashi-ku,296453,6322,293612,370,46037,3658,130608,7,256,2287,116711,79,2841,4,284,14,262,61,2295,-,-
5,13120,20,練馬区,Nerima-ku,424390,6427,420531,898,104974,3168,125533,30,2104,2331,187920,117,3859,17,1037,42,703,58,2119,-,-
5,13121,21,足立区,Adachi-ku,430896,7899,426773,687,81032,4285,147527,31,582,2896,197632,120,4123,11,718,44,1160,65,2245,-,-
5,13122,22,葛飾区,Katsushika-ku,280354,4886,273898,401,46698,2667,92788,5,764,1813,133648,87,6456,5,221,19,3680,63,2555,-,-
5,13123,23,江戸川区,Edogawa-ku,323423,4948,321190,535,63576,2798,114058,41,1646,1574,141910,70,2233,10,320,21,597,39,1316,-,-
2,13200,,市部,All shi,2531952,33008,2505106,6160,690963,12835,554472,38,4451,13975,1255220,720,26846,150,7680,260,7807,303,11039,7,320
5,13201,1,八王子市,Hachioji-shi,327202,4294,323732,757,87625,2052,79973,1,1105,1484,155029,103,3470,27,1195,30,569,44,1541,2,165
5,13202,2,立川市,Tachikawa-shi,117192,1866,115674,280,29793,824,34025,1,138,761,51718,34,1518,7,669,18,303,9,546,-,-
5,13203,3,武蔵野市,Musashino-shi,117316,1522,116485,241,28694,605,25020,8,707,668,62064,34,831,6,253,13,241,14,323,1,14
5,13204,4,三鷹市,Mitaka-shi,123996,1735,122599,286,34343,854,36516,1,85,594,51655,39,1397,8,405,21,752,10,240,-,-
5,13205,5,青梅市,Ome-shi,66280,749,65786,263,29507,247,11885,-,-,239,24394,20,494,6,206,13,277,1,11,-,-
5,13206,6,府中市,Fuchu-shi,150518,1987,149462,353,39240,774,36584,8,608,852,73030,36,1056,8,193,9,213,19,650,-,-
5,13207,7,昭島市,Akishima-shi,87106,1040,85998,195,21615,288,14784,-,-,557,49599,28,1108,4,314,7,119,17,675,-,-
5,13208,8,調布市,Chofu-shi,117952,1686,116945,271,28780,731,30232,5,621,679,57312,22,1007,2,450,6,93,13,406,1,58
5,13209,9,町田市,Machida-shi,230758,2747,228871,670,77490,986,44742,-,-,1091,106639,62,1887,13,438,26,664,23,785,-,-
5,13210,10,小金井市,Koganei-shi,71282,1063,70996,206,22032,481,16997,-,-,376,31967,9,286,5,226,3,45,-,-,1,15
5,13211,11,小平市,Kodaira-shi,202808,2482,200118,333,35985,405,17155,2,293,1742,146685,75,2690,5,350,10,186,60,2154,-,-
5,13212,12,日野市,Hino-shi,107478,1394,106781,301,34940,616,28487,3,136,474,43218,28,697,6,228,18,315,3,101,1,53
5,13213,13,東村山市,Higashimurayama-shi,92664,1133,91185,182,19691,212,8812,5,274,734,62408,26,1479,6,527,6,88,14,864,-,-
5,13214,14,国分寺市,Kokubunji-shi,120309,1664,119102,229,24639,561,19849,2,285,872,74329,34,1207,9,284,6,124,19,799,-,-
5,13215,15,国立市,Kunitachi-shi,34200,402,31255,114,13995,151,5646,1,123,136,11491,11,2945,3,180,3,2585,4,165,1,15
5,13218,16,福生市,Fussa-shi,33626,479,33098,82,9173,310,15512,-,-,87,8413,22,528,4,209,5,86,13,233,-,-
5,13219,17,狛江市,Komae-shi,58445,742,58062,114,12346,193,8849,-,-,435,36867,11,383,-,-,4,86,7,297,-,-
5,13220,18,東大和市,Higashiyamato-shi,37173,427,36918,111,12691,135,7084,-,-,181,17143,9,255,3,152,6,103,-,-,-,-
5,13221,19,清瀬市,Kiyose-shi,34900,450,34654,103,11295,187,8054,-,-,160,15305,15,246,3,75,12,171,-,-,-,-
5,13222,20,東久留米市,Higashikurume-shi,49925,610,49836,153,15840,166,7371,-,-,291,26625,5,89,2,49,2,25,1,15,-,-
5,13223,21,武蔵村山市,Musashimurayama-shi,82796,1130,81299,162,17037,712,38837,-,-,256,25425,42,1497,4,268,11,206,27,1023,-,-
5,13224,22,多摩市,Tama-shi,51085,692,50617,122,14179,321,12430,-,-,249,24008,14,468,4,277,9,169,1,22,-,-
5,13225,23,稲城市,Inagi-shi,36824,464,36645,137,15018,175,7692,-,-,152,13935,7,179,3,62,3,40,1,77,-,-
5,13227,24,羽村市,Hamura-shi,29554,353,29154,67,8349,141,6562,-,-,145,14243,10,400,4,291,6,109,-,-,-,-
5,13228,25,あきる野市,Akiruno-shi,48429,550,48191,195,22220,178,8095,-,-,177,17876,11,238,3,85,8,153,-,-,-,-
5,13229,26,西東京市,Nishitokyo-shi,102134,1347,101643,233,24446,530,23279,1,76,583,53842,13,491,5,294,5,85,3,112,-,-
3,13300,,郡部,All gun,27881,283,27387,125,14169,62,3356,1,112,95,9750,6,494,4,437,2,57,-,-,-,-
3,13350,,島部,All islands,9528,113,9307,66,6652,45,2324,1,156,1,175,7,221,3,77,2,54,2,90,-,-
4,13360,1,大島支庁,Oshima-shicho,6641,77,6433,47,4720,30,1713,-,-,-,-,6,208,2,64,2,54,2,90,-,-
4,13380,2,三宅支庁,Miyake-shicho,175,4,175,1,110,3,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,13400,3,八丈支庁,Hachijo-shicho,2021,21,2008,15,1601,6,407,-,-,-,-,1,13,1,13,-,-,-,-,-,-
4,13420,4,小笠原支庁,Ogasawara-shicho,691,11,691,3,221,6,139,1,156,1,175,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  地  域  別  着  工  住  宅  数 （平成28年） ,,,,,,,,,,,,,,,,,,,,,,,,,
　この表は， 建築基準法に基づき建築主から知事に届出のあった建築工事届により，着工住宅を工事別に分類したもので， 「新設」 とは建築物の新築， 増築又は改築によって住宅の戸が新たに造られる工事をいい，「その他」とは住宅が増築又は改築されるときで，住宅戸数が新たに増加しない工事をいう。 ,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　面積　平方メートル） ,,,,,,,,,,,,,,,,,,,,,,,,,
　　資料：都都市整備局市街地建築部建築企画課 ,,,,,,,,,,,,,,,,,,,,,,,,,
3-11  DWELLING CONSTRUCTION STARTS BY DISTRICT ( 2016 ) ,,,,,,,,,,,,,,,,,,,,,,,,,
This table refers to the number of dwelling constructions started after submission of construction notification to the ,,,,,,,,,,,,,,,,,,,,,,,,,
Governor by the builders as prescribed in the Building Standards Act which have been classified by type of construction.,,,,,,,,,,,,,,,,,,,,,,,,,
Newly constructed refers to the building of a new dwelling unit through new construction extension or reconstruction and,,,,,,,,,,,,,,,,,,,,,,,,,
Others refers to extension or reconstruction that does not result in an increase of dwelling units. ,,,,,,,,,,,,,,,,,,,,,,,,,
(Space in ㎡) ,,,,,,,,,,,,,,,,,,,,,,,,,
　　Source: Bureau of Urban Development，TMG,,,,,,,,,,,,,,,,,,,,,,,,,
