年度末,End of fiscal year,地域階層,地域コード,項番 Item number,地域,District,飲食店 Eateries／総数 Total,飲食店 Eateries／旅館・ホテル Ryokan ・ hotel,飲食店 Eateries／バー・キャバレー Bars ・ cabarets,飲食店 Eateries／一般飲食店 Restaurant,飲食店 Eateries／民生食堂 Low-cost eatery,飲食店 Eateries／すし屋 Sushi restaurant,飲食店 Eateries／そば屋 Soba restaurant,飲食店 Eateries／仕出し屋 Caterer,飲食店 Eateries／弁当屋 Bento shop,飲食店 Eateries／そうざい店 Deli,飲食店 Eateries／その他 Others,喫茶店 Cafes／店舗 Shop,喫茶店 Cafes／その他 Others,乳類販売業 Dairy product sales,食肉販売業 Processed meat sales,魚介類販売業 Seafood sales,食料品等販売業 Food sales,アイスクリーム販売業 Ice cream sales,菓子販売業 Confectionery sales,魚介類加工品販売業 Fishery products sales
平成28,2016,2,13206,6,府中市,Fuchu-shi,2123,16,52,1370,-,46,62,25,83,99,370,33,371,504,217,227,455,450,411,381
平成28,2016,2,13207,7,昭島市,Akishima-shi,909,9,9,664,-,29,23,13,48,41,73,14,174,204,106,112,199,184,267,175
平成28,2016,2,13208,8,調布市,Chofu-shi,1672,2,25,1241,-,50,63,16,87,60,128,25,151,311,190,182,340,474,237,311
平成28,2016,2,13209,9,町田市,Machida-shi,2959,22,128,1886,-,66,76,31,185,217,348,33,276,656,325,317,599,626,866,663
平成28,2016,2,13210,10,小金井市,Koganei-shi,771,1,8,570,-,18,20,9,44,43,58,15,58,140,86,78,165,214,207,191
平成28,2016,2,13211,11,小平市,Kodaira-shi,1259,3,6,757,-,32,36,17,77,63,268,13,157,294,145,143,259,310,181,450
平成28,2016,2,13212,12,日野市,Hino-shi,1027,1,7,650,-,25,33,20,71,38,182,10,158,228,113,117,220,176,195,92
平成28,2016,2,13213,13,東村山市,Higashimurayama-shi,1060,10,32,756,-,38,36,12,60,48,68,13,84,192,104,104,167,136,179,113
平成28,2016,2,13214,14,国分寺市,Kokubunji-shi,1026,4,38,785,-,23,26,9,47,30,64,15,67,157,79,70,158,189,101,162
平成28,2016,2,13215,15,国立市,Kunitachi-shi,646,5,4,493,-,10,20,8,29,37,40,13,61,114,67,60,114,107,156,107
平成28,2016,2,13218,16,福生市,Fussa-shi,785,2,54,635,-,17,12,4,21,18,22,4,43,93,58,56,87,84,152,42
平成28,2016,2,13219,17,狛江市,Komae-shi,442,1,2,309,-,14,17,12,24,28,35,4,33,88,59,52,82,250,108,131
平成28,2016,2,13220,18,東大和市,Higashiyamato-shi,556,3,13,375,-,16,22,7,48,38,34,10,47,124,71,63,114,80,109,46
平成28,2016,2,13221,19,清瀬市,Kiyose-shi,454,-,8,317,-,12,13,12,30,26,36,7,49,121,56,52,105,73,90,54
平成28,2016,2,13222,20,東久留米市,Higashikurume-shi,636,1,4,412,-,26,19,12,58,52,52,14,86,163,101,100,177,117,150,98
平成28,2016,2,13223,21,武蔵村山市,Musashimurayama-shi,451,3,3,319,-,14,21,15,26,25,25,10,76,121,76,68,120,73,104,71
平成28,2016,2,13224,22,多摩市,Tama-shi,984,10,20,677,-,22,21,13,70,55,96,22,161,226,103,100,238,169,186,88
平成28,2016,2,13225,23,稲城市,Inagi-shi,389,-,1,274,-,4,13,7,32,26,32,17,47,114,61,53,110,61,70,32
平成28,2016,2,13227,24,羽村市,Hamura-shi,696,1,50,523,-,16,11,6,25,24,40,5,120,109,61,57,97,75,139,40
平成28,2016,2,13228,25,あきる野市,Akiruno-shi,533,14,-,368,-,16,22,11,33,39,30,14,61,124,68,59,128,111,142,28
平成28,2016,2,13229,26,西東京市,Nishitokyo-shi,1279,3,31,943,-,25,33,17,76,55,96,13,111,239,130,127,233,654,548,463
平成28,2016,1,13300,,郡部,All gun,533,39,-,360,-,11,23,7,15,33,45,11,71,147,78,69,183,221,367,71
平成28,2016,1,13500,,島部,All islands,1103,423,8,470,-,18,14,7,57,51,55,18,5,130,84,110,178,170,212,139
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成26年）TOKYO STATISTICAL YEARBOOK ( 2016 )　19  医療・衛生・環境 19  MEDICAL CARE， SANITATION， AND ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8  食品衛生営業施設数 (平成24～平成28年度末) 19-8  BUSINESS FACILITIES REGULATED BY THE FOOD SANITATION ACT ( End of Fiscal Years 2012-2016 )  ,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都福祉保健局総務部総務課 「福祉・衛生統計年報」 Source: Bureau of Social Welfare and Public Health， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都　1:区部・市部・郡部・島部　2:区市),,,,,,,,,,,,,,,,,,,,,,,,,,
