年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成24,2012,13100,,区部,All ku,13161171,12497317,29493582,9629292,16034855,2686705,174218,7102,663854,1833668,440923,712293,130918,941,66080,24993
平成25,2013,13100,,区部,All ku,13205242,12522856,29477862,9670446,16072109,2673590,171724,7096,682386,1884006,461224,730392,130130,1441,64562,25028
平成26,2014,13100,,区部,All ku,13424791,12731522,29498621,9783687,16237637,2767738,172994,7095,693268,1971103,475800,707031,123812,1316,67311,25028
平成27,2015,13100,,区部,All ku,13821681,12985214,29544628,10021571,16189281,2798489,158044,7094,836467,2028159,613142,711379,129613,1343,67336,25028
平成28,2016,13100,,区部,All ku,13471958,12661283,29638800,9863282,16254804,2647290,142793,7901,810675,2088295,600216,750334,117576,1205,66649,25028
平成28,2016,13101,1,千代田区,Chiyoda-ku,6185,6185,203896,…,318045,…,…,6185,…,26307,…,51439,…,…,…,…
平成28,2016,13102,2,中央区,Chuo-ku,602253,560747,403666,395813,552727,159702,5009,223,41506,44970,31655,30895,8481,76,1294,-
平成28,2016,13103,3,港区,Minato-ku ,855878,823298,707626,635343,695057,183238,4706,-,32580,92740,30316,7070,752,5,1508,-
平成28,2016,13104,4,新宿区,Shinjuku-ku,674717,602046,961536,525502,569149,75972,572,-,72671,93725,41647,50772,5142,-,854,25028
平成28,2016,13105,5,文京区,Bunkyo-ku,453673,429708,723637,324008,415649,105700,-,-,23965,25397,13947,32743,9769,-,249,-
平成28,2016,13106,6,台東区,Taito-ku,245764,226695,404288,106781,442614,111188,8726,-,19069,36356,6810,20486,1335,56,10867,-
平成28,2016,13107,7,墨田区,Sumida-ku,254695,240217,581719,83328,539997,149310,7579,-,14477,181048,4173,27749,4868,33,5404,-
