年,Year,項目,Item,総数 Total／頭数 Number（頭 Number）,総数 Total／重量 Weight（kg）,総数 Total／金額 Value（千円 in thousands of yen）
平成26,2014,総数,Total,378172,87254000,122205524
平成27,2015,総数,Total,360796,81598655,137341172
平成28,2016,総数,Total,341415,77774848,139265653
平成28,2016,牛,Cattle,131648,60756212,130806982
平成28,2016,豚,Pig,209567,16978614,8331117
平成28,2016,馬,Horse,2,413,585
平成28,2016,こ牛,Calf,198,19073,8746
平成28,2016,山羊・緬羊,Goat and sheep,-,-,-
平成28,2016,その他,Others,…,20536,118223
,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,
10-3  畜産物の畜種別取扱高 （平成26～28年） 10-3 TOTAL TRANSACTIONS IN LIVESTOCK PRODUCTS BY TYPE OF LIVESTOCK （ 2014-2016 ）,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,
（単位　重量　kg，金額　千円） （Weight in kg ， Value in thousands of yen),,,,,,
