年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成27,2015,0,13000,,総数,Tokyo-to,4477,2940,299,3,4,1231,205,198,2008,21200,97,99,827,3980046
平成28,2016,0,13000,,総数,Tokyo-to,4007,2780,280,3,1,943,140,147,1790,18262,131,83,853,4061183
平成28,2016,1,13100,,区部,All ku　,3010,2156,185,3,-,666,98,105,1366,11901,30,52,660,3109666
平成28,2016,2,13101,1,千代田区,Chiyoda-ku ,132,112,3,-,-,17,-,1,8,89,30,-,22,24855
平成28,2016,2,13102,2,中央区,Chuo-ku,117,78,12,3,-,24,-,-,17,681,-,-,18,36684
平成28,2016,2,13103,3,港区,Minato-ku,217,168,15,-,-,34,2,6,44,257,-,-,33,160057
平成28,2016,2,13104,4,新宿区,Shinjuku-ku,186,137,-,-,-,49,4,3,75,945,-,4,35,195807
平成28,2016,2,13105,5,文京区,Bunkyo-ku,71,49,1,-,-,21,-,2,27,141,-,-,12,27564
平成28,2016,2,13106,6,台東区,Taito-ku,76,59,5,-,-,12,2,5,31,448,-,3,19,18587
平成28,2016,2,13107,7,墨田区,Sumida-ku,58,47,1,-,-,10,4,4,34,502,-,3,8,82593
平成28,2016,2,13108,8,江東区,Koto-ku,132,82,10,-,-,40,2,1,44,506,-,1,34,111036
平成28,2016,2,13109,9,品川区,Shinagawa-ku ,132,98,11,-,-,23,5,9,59,420,-,5,26,55908
平成28,2016,2,13110,10,目黒区,Meguro-ku,72,49,7,-,-,16,1,1,45,104,-,1,11,35703
平成28,2016,2,13111,11,大田区,Ota-ku,176,122,13,-,-,41,11,8,90,752,-,4,69,1019419
平成28,2016,2,13112,12,世田谷区,Setagaya-ku,164,126,9,-,-,29,12,7,96,936,-,1,38,285137
平成28,2016,2,13113,13,渋谷区,Shibuya-ku,149,110,5,-,-,34,2,-,35,44,-,-,24,22159
平成28,2016,2,13114,14,中野区,Nakano-ku,91,63,10,-,-,18,4,3,47,364,-,3,23,34856
平成28,2016,2,13115,15,杉並区,Suginami-ku,145,102,9,-,-,34,2,7,87,722,-,2,37,160507
平成28,2016,2,13116,16,豊島区,Toshima-ku,121,86,8,-,-,27,10,6,54,390,-,1,20,37321
平成28,2016,2,13117,17,北区,Kita-ku,82,59,6,-,-,17,8,12,69,572,-,3,23,106924
平成28,2016,2,13118,18,荒川区,Arakawa-ku,53,34,1,-,-,18,-,2,26,130,-,1,11,68295
平成28,2016,2,13119,19,板橋区,Itabashi-ku,164,110,9,-,-,45,3,4,107,503,-,3,32,61791
平成28,2016,2,13120,20,練馬区,Nerima-ku,164,113,9,-,-,42,4,5,110,501,-,4,44,116757
平成28,2016,2,13121,21,足立区,Adachi-ku,188,126,13,-,-,49,16,8,107,1476,-,7,59,228467
平成28,2016,2,13122,22,葛飾区,Katsushika-ku,143,97,16,-,-,30,2,5,62,630,-,4,17,99428
平成28,2016,2,13123,23,江戸川区,Edogawa-ku ,177,129,12,-,-,36,4,6,92,788,-,2,45,119811
平成28,2016,1,13200,,市部,All shi ,958,608,90,-,-,260,40,41,418,5960,101,30,188,927541
平成28,2016,2,13201,1,八王子市,Hachioji-shi,143,86,23,-,-,34,6,7,69,1654,1,3,31,264797
平成28,2016,2,13202,2,立川市,Tachikawa-shi,44,37,2,-,-,5,3,2,24,305,-,2,5,41733
平成28,2016,2,13203,3,武蔵野市,Musashino-shi,44,38,2,-,-,4,5,1,27,273,-,3,18,48119
平成28,2016,2,13204,4,三鷹市,Mitaka-shi,31,23,3,-,-,5,1,1,19,415,-,-,11,39034
平成28,2016,2,13205,5,青梅市,Ome-shi,39,20,4,-,-,15,-,2,12,121,-,1,9,15819
平成28,2016,2,13206,6,府中市,Fuchu-shi,76,43,5,-,-,28,2,1,30,180,-,2,15,46213
平成28,2016,2,13207,7,昭島市,Akishima-shi,23,13,2,-,-,8,2,2,9,161,-,1,6,20315
平成28,2016,2,13208,8,調布市,Chofu-shi,49,26,7,-,-,16,1,1,16,154,-,1,7,21442
平成28,2016,2,13209,9,町田市,Machida-shi,116,77,13,-,-,26,1,5,44,605,100,3,13,155075
平成28,2016,2,13210,10,小金井市,Koganei-shi,25,14,1,-,-,10,-,1,6,30,-,-,1,6328
平成28,2016,2,13211,11,小平市,Kodaira-shi,39,21,2,-,-,16,2,5,20,244,-,3,10,21740
平成28,2016,2,13212,12,日野市,Hino-shi ,32,27,1,-,-,4,2,2,24,230,-,2,11,31132
平成28,2016,2,13213,13,東村山市,Higashimurayama-shi,29,24,-,-,-,5,3,-,15,37,-,-,7,9477
平成28,2016,2,13214,14,国分寺市,Kokubunji-shi,22,16,1,-,-,5,-,1,7,86,-,-,3,14341
平成28,2016,2,13215,15,国立市,Kunitachi-shi,19,11,3,-,-,5,-,-,7,10,-,1,-,2609
平成28,2016,2,13218,16,福生市,Fussa-shi,17,12,4,-,-,1,1,1,7,418,-,-,2,34421
平成28,2016,2,13219,17,狛江市,Komae-shi,26,13,2,-,-,11,1,-,2,168,-,-,3,11332
平成28,2016,2,13220,18,東大和市,Higashiyamato-shi,18,11,3,-,-,4,1,3,8,141,-,2,7,36421
平成28,2016,2,13221,19,清瀬市,Kiyose-shi,17,8,-,-,-,9,1,1,6,25,-,-,5,3429
平成28,2016,2,13222,20,東久留米市,Higashikurume-shi,25,18,1,-,-,6,4,5,13,219,-,1,5,68648
平成28,2016,2,13223,21,武蔵村山市,Musashimurayama-shi,23,12,2,-,-,9,-,-,12,-,-,1,3,346
平成28,2016,2,13224,22,多摩市,Tama-shi,21,12,3,-,-,6,-,-,9,-,-,3,2,724
平成28,2016,2,13225,23,稲城市,Inagi-shi,11,6,2,-,-,3,3,-,8,323,-,-,3,14963
平成28,2016,2,13227,24,羽村市,Hamura-shi,17,7,2,-,-,8,1,-,3,105,-,-,1,5246
平成28,2016,2,13228,25,あきる野市,Akiruno-shi,18,7,-,-,-,11,-,-,4,35,-,-,-,1630
平成28,2016,2,13229,26,西東京市,Nishitokyo-shi,34,26,2,-,-,6,-,-,17,21,-,1,10,12207
平成28,2016,1,13300,,郡部,All gun,25,9,2,-,1,13,-,1,2,89,-,1,1,21827
平成28,2016,2,13303,1,瑞穂町,Mizuho-machi,13,5,1,-,-,7,-,-,1,49,-,-,-,12837
平成28,2016,2,13305,2,日の出町,Hinode-machi ,6,2,1,-,-,3,-,1,-,40,-,1,1,8945
平成28,2016,2,13307,3,檜原村,Hinohara-mura,2,1,-,-,1,-,-,-,1,-,-,-,-,25
平成28,2016,2,13308,4,奥多摩町,Okutama-machi,4,1,-,-,-,3,-,-,-,-,-,-,-,20
平成28,2016,1,13350,,島部,All islands,14,7,3,-,-,4,2,-,4,312,-,-,4,2149
平成28,2016,2,13361,1,大島町,Oshima-machi,5,3,1,-,-,1,1,-,2,146,-,-,1,-
平成28,2016,2,13362,2,利島村,Toshima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,2,13363,3,新島村,Niijima-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,2,13364,4,神津島村,Kozushima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,2,13381,5,三宅村,Miyake-mura ,2,-,1,-,-,1,-,-,-,-,-,-,-,-
平成28,2016,2,13382,6,御蔵島村,Mikurajima-mura,2,2,-,-,-,-,-,-,-,31,-,-,2,-
平成28,2016,2,13401,7,八丈町,Hachijo-machi,5,2,1,-,-,2,1,-,2,135,-,-,1,2149
平成28,2016,2,13402,8,青ヶ島村,Aogashima-mura,-,-,-,-,-,-,-,-,-,-,-,-,-,-
平成28,2016,2,13421,9,小笠原村,Ogasawara-mura ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,
20-17  地域別火災の発生件数 （平成27，28年） 20-17 NUMBER OF FIRES BY DISTRICT ( 2015 and 2016 ),,,,,,,,,,,,,,,,,,,,
注) 死傷者には消防吏員及び消防団員を含む。,,,,,,,,,,,,,,,,,,,,
Note: Firefighter personnel and fire corps volunteers are included in the number of people killed or injured.,,,,,,,,,,,,,,,,,,,,
資料：都総務局総合防災部防災管理課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,,,,
