会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,975572,987805,987804
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,975572,987805,987804
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,975572,987805,987804
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,975572,987805,987804
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,2044675,2044675,1995284
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,1459011,1459011,1438849
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,441464,441464,442930
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,144200,144200,113505
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,1871806,1871806,1804027
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,1871806,1871806,1804027
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,374,374,750
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,10,10,23
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,0,0,0
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,364,364,727
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,374,374,-
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,374,374,-
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳入,Revenue,4520,4520,5033
母子父子福祉貸付資金,Single parent welfare loan funds,1,事業収入,Operations,2736,2736,3265
母子父子福祉貸付資金,Single parent welfare loan funds,1,国庫支出金,National grants-in-aid,0,0,0
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰入金,Funds transferred,482,482,173
母子父子福祉貸付資金,Single parent welfare loan funds,1,諸収入,Miscellaneous,0,0,2
母子父子福祉貸付資金,Single parent welfare loan funds,1,都債,Metropolitan debt,669,669,75
母子父子福祉貸付資金,Single parent welfare loan funds,1,繰越金,Balance brought forward,632,632,1518
母子父子福祉貸付資金,Single parent welfare loan funds,0,歳出,Expenditure,4520,4520,3149
母子父子福祉貸付資金,Single parent welfare loan funds,1,貸付費,Loans,4520,4520,3149
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,5388,5388,5194
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,事業収入,Enterprises,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,186,186,150
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,5202,5202,5041
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,4
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,0
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,5388,5388,5194
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,扶養年金費,Annuity,5388,5388,5194
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳入,Revenue,6748,6748,6374
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,事業収入,Operations,5924,5924,3849
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰入金,Funds transferred,14,14,14
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,諸収入,Miscellaneous,0,0,0
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,繰越金,Balance brought forward,810,810,2511
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,0,歳出,Expenditure,6748,6748,4653
中小企業設備導入等資金,Small to medium-sized enterprises capital investment， etc.，funds,1,助成費,Subsidies,6748,6748,4653
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳入,Revenue,52,52,98
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,事業収入,Operations,16,16,6
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰入金,Funds transferred,1,1,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,諸収入,Miscellaneous,0,0,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,繰越金,Balance brought forward,35,35,92
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,0,歳出,Expenditure,52,52,0
林業・木材産業改善資金助成,Forestry and lumber industry improvement subsidies,1,助成費,Subsidies,52,52,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳入,Revenue,48,48,134
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,事業収入,Operations,21,21,21
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰入金,Funds transferred,1,1,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,諸収入,Miscellaneous,0,0,0
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,繰越金,Balance brought forward,26,26,113
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,0,歳出,Expenditure,48,48,18
沿岸漁業改善資金助成,Coastal fishery improvement subsidies,1,助成費,Subsidies,48,48,18
と場,Slaughter house,0,歳入,Revenue,6648,6648,5754
と場,Slaughter house,1,使用料及手数料,Charges and fees,1418,1418,1348
と場,Slaughter house,1,繰入金,Funds transferred,4786,4786,4016
と場,Slaughter house,1,諸収入,Miscellaneous,50,50,69
と場,Slaughter house,1,都債,Metropolitan bonds,394,394,320
と場,Slaughter house,1,繰越金,Balance brought forward,0,0,-
と場,Slaughter house,0,歳出,Expenditure,6648,6648,5754
と場,Slaughter house,1,と場事業費,Slaughter house operations,6648,6648,5754
都営住宅等事業,Metropolitan public housing， etc.,0,歳入,Revenue,178360,188883,163783
都営住宅等事業,Metropolitan public housing， etc.,1,分担金及負担金,Beneficiary contribution,589,589,470
都営住宅等事業,Metropolitan public housing， etc.,1,使用料及手数料,Charges and fees,69976,69976,68915
都営住宅等事業,Metropolitan public housing， etc.,1,国庫支出金,National treasury disbursements,35827,40321,29298
都営住宅等事業,Metropolitan public housing， etc.,1,財産収入,Revenue from property ,1765,1765,1785
都営住宅等事業,Metropolitan public housing， etc.,1,繰入金,Funds transferred,30051,30368,29403
