年次,Year,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received／計 Total,受理 Received／新受 Newly received／検察官からの送致 Referred by public prosecutors,受理 Received／新受 Newly received／司法警察員からの送致 Referred by judicial police officers,受理 Received／新受 Newly received／知事又は児童相談所長からの送致 Referred by governors or chiefs of child guidance offices／強制措置を要するもの Requires enforcement measures,受理 Received／新受 Newly received／知事又は児童相談所長からの送致 Referred by governors or chiefs of child guidance offices／強制措置を要しないもの Enforcement measures not required,受理 Received／新受 Newly received／少年調査官の報告 Reported by juvenile examiners,受理 Received／新受 Newly received／通告 Notification／一般人から From civilians,受理 Received／新受 Newly received／通告 Notification／保護観察所長から From chiefs of probation offices,受理 Received／新受 Newly received／抗告審からの移送差もどし Remanded from second instance,受理 Received／新受 Newly received／法第55条による移送 Transferred under Art. 55 of Juvenile Act,受理 Received／新受 Newly received／他の家庭裁判所からの移送回付 Referred by other family courts,既済 Disposed／総数 Total,既済 Disposed／検察官へ送致 Referred to public prosecutors／法20条，23条1項 Under Art. 20， Art. 23 (1) of Juvenile Act,既済 Disposed／検察官へ送致 Referred to public prosecutors／法19条 2項，23条 3項 Under Art. 19 (2)， Art. 23 (3) of Juvenile Act,既済 Disposed／保護処分 Protective measures／保護観察所の保護観察 Probation (Probation Office),既済 Disposed／保護処分 Protective measures／児童自立支援施設又は児童養護施設送致 Referral to a children's self-reliance support facility or foster home,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／初等 Primary,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／中等 Secondary,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／特別 Special,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／医療 Medical,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／第1種 Type 1,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／第2種 Type 2,既済 Disposed／保護処分 Protective measures／少年院へ送致 Referred to a juvenile training school／第3種 Type 3,既済 Disposed／知事又は児童相談所長へ送致 Referred to governors or chiefs of child guidance offices／強制措置を要するもの Enforcement measures required,既済 Disposed／知事又は児童相談所長へ送致 Referred to governors or chiefs of child guidance offices／強制措置を要しないもの Enforcement measures not required,既済 Disposed／不処分 Dismissal after hearing,既済 Disposed／審判不開始 Dismissal without hearing,既済 Disposed／他の家庭裁判所へ送致回付 Referred to other family courts,既済 Disposed／併合 Joinder,未済 Pending
平成26,2014,総数,Total,8454,1022,7432,6270,614,4,20,10,-,2,1,-,511,7584,151,104,1196,14,32,240,1,8,…,…,…,3,9,1040,3481,739,566,870
平成27,2015,総数,Total,7687,870,6817,5728,500,4,29,3,-,-,3,-,550,6785,187,93,1153,14,16,79,3,-,148,3,6,4,10,1039,2972,657,401,902
平成28,2016,総数,Total,7281,902,6379,5509,367,4,27,4,-,-,1,-,467,6350,171,97,1051,14,-,-,-,-,204,5,3,3,14,973,2769,612,434,931
平成28,2016,一般保護事件,General cases,6039,765,5274,4682,156,4,27,4,-,-,1,-,400,5216,16,79,712,14,-,-,-,-,202,5,3,3,14,889,2387,497,395,823
平成28,2016,道路交通保護事件,Traffic violations,1242,137,1105,827,211,-,-,-,-,-,-,-,67,1134,155,18,339,-,-,-,-,-,2,-,-,-,-,84,382,115,39,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-9  少年保護事件 (1)種類別人員（平成26～28年） 20-9  JUVENILE PROTECTION CASES (1)  JUVENILES BY KIND ( 2014-2016 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 平成27年の少年法改正のため，「少年院へ送致」のうち「初等」，「中等」，「特別」及び「医療」は平成27年5月までの人員であり，「第１種」，「第２種」及び「第３種」は，平成27年6月以降の人員である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Among persons ""Sent to a juvenile training school，"" figures listed under ""Primary，"" ""Secondary，"" ""Special，"" and ""Medical"" are as of May 2015 and those under ""Type 1，"" ""Type 2，"" and ""Type 3"" are from June 2015. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課 Source: Tokyo Family Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
