TOHYOKU,TOHYOJYO,MAN,WOMAN,TOTAL,SETAI,BLANK
投票区,投票所,男,女,計,世帯数,
 1,市立東中学校,2399,2630,5029,2799,
 2,みそら幼稚園,1199,1371,2570,1475,
 3,市立東小学校,3402,3328,6730,4505,
 4,せいしん幼稚園,1704,1771,3475,2041,
 5,市立小金井第一小学校,3317,3561,6878,4076,
 6,市立小金井第二中学校,1771,1817,3588,2149,
 7,市立南小学校,1425,1491,2916,1579,
 8,市立南中学校,3202,3193,6395,3520,
 9,市立前原小学校,2264,2292,4556,2767,
10,都立多摩科学技術高等学校,1229,1427,2656,1595,
11,貫井南センター,3568,3687,7255,3942,
12,市立小金井第四小学校,2691,2899,5590,3230,
13,市立小金井第三小学校,3405,3402,6807,4160,
14,市立緑中学校,3124,3166,6290,3412,
15,都立小金井北高等学校,3094,3227,6321,3818,
16,公民館本館（旧本町分館）,2232,2470,4702,3079,
17,市立緑小学校,3214,3498,6712,3826,
18,市立小金井第二小学校,1886,2095,3981,2325,
19,本町児童館,2147,2410,4557,2876,
20,市立本町小学校,3482,3437,6919,4046,
合計,,50755,53172,103927,61220,
