AZA,TIKU,MAN,WOMAN,TOTAL,NAI,GAI,SYOUKEI,SETAI,BLANK
町字コード,町丁目,男,女,計,表示者(内数) 都道府県内,表示者(内数) 都道府県外,表示者(内数) 小計,世帯数,
011,東町１丁目,1358,1495,2853,29,13,42,1602,
012,東町２丁目,1199,1371,2570,26,10,36,1475,
013,東町３丁目,972,943,1915,31,19,50,1225,
014,東町４丁目,2430,2385,4815,72,41,113,3281,
015,東町５丁目,1041,1135,2176,20,11,31,1197,
9999999999,＊小計＊,7000,7329,14329,178,94,272,8780,
021,梶野町１丁目,407,413,820,9,6,15,494,
022,梶野町２丁目,1068,966,2034,24,21,45,1188,
023,梶野町３丁目,1046,1065,2111,24,9,33,1122,
024,梶野町４丁目,1181,1132,2313,25,17,42,1405,
025,梶野町５丁目,749,891,1640,28,15,43,1073,
9999999999,＊小計＊,4451,4467,8918,110,68,178,5282,
031,関野町１丁目,258,259,517,4,7,11,315,
032,関野町２丁目,262,253,515,4,4,8,288,
9999999999,＊小計＊,520,512,1032,8,11,19,603,
041,緑町１丁目,751,789,1540,20,5,25,897,
042,緑町２丁目,1558,1589,3147,17,29,46,1687,
043,緑町３丁目,1044,1068,2112,16,12,28,1173,
044,緑町４丁目,1046,1126,2172,33,11,44,1220,
045,緑町５丁目,2343,2438,4781,60,31,91,2921,
9999999999,＊小計＊,6742,7010,13752,146,88,234,7898,
051,中町１丁目,920,933,1853,13,10,23,1022,
052,中町２丁目,1704,1771,3475,29,23,52,2041,
053,中町３丁目,1661,1727,3388,38,9,47,1948,
054,中町４丁目,851,884,1735,22,14,36,1127,
9999999999,＊小計＊,5136,5315,10451,102,56,158,6138,
061,前原町１丁目,670,711,1381,11,3,14,725,
062,前原町２丁目,755,780,1535,15,13,28,854,
063,前原町３丁目,1893,1900,3793,38,16,54,2345,
064,前原町４丁目,1833,1798,3631,39,13,52,2007,
065,前原町５丁目,1027,1061,2088,19,13,32,1147,
9999999999,＊小計＊,6178,6250,12428,122,58,180,7078,
071,本町１丁目,1656,1834,3490,34,24,58,2128,
072,本町２丁目,1370,1563,2933,44,22,66,1989,
073,本町３丁目,862,907,1769,27,6,33,1090,
074,本町４丁目,1249,1413,2662,17,10,27,1599,
075,本町５丁目,2334,2600,4934,73,44,117,3046,
076,本町６丁目,1229,1427,2656,36,16,52,1595,
9999999999,＊小計＊,8700,9744,18444,231,122,353,11447,
081,桜町１丁目,947,1118,2065,12,7,19,1224,
082,桜町２丁目,637,682,1319,16,2,18,726,
083,桜町３丁目,177,186,363,5,0,5,209,
9999999999,＊小計＊,1761,1986,3747,33,9,42,2159,
091,貫井北町１丁目,782,831,1613,22,10,32,990,
092,貫井北町２丁目,829,820,1649,15,16,31,1043,
093,貫井北町３丁目,2238,2183,4421,48,35,83,2535,
094,貫井北町４丁目,75,57,132,4,3,7,81,
095,貫井北町５丁目,975,1067,2042,28,9,37,1143,
9999999999,＊小計＊,4899,4958,9857,117,73,190,5792,
101,貫井南町１丁目,1100,1140,2240,17,11,28,1166,
102,貫井南町２丁目,796,838,1634,11,7,18,853,
103,貫井南町３丁目,1087,1188,2275,22,10,32,1314,
104,貫井南町４丁目,1423,1412,2835,30,14,44,1564,
105,貫井南町５丁目,962,1023,1985,10,5,15,1147,
9999999999,＊小計＊,5368,5601,10969,90,47,137,6044,
,＊合計＊,50755,53172,103927,1137,626,1763,61221,
