令和３年度　小金井市立小学校児童数 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
小学校,,,,,,,,,,,,,,
学校名,１年,,２年,,３年,,４年,,５年,,６年,,合計,
,人,学級,人,学級,人,学級,人,学級,人,学級,人,学級,人,学級
一小,144,4,109,4,106,3,93,3,101,3,108,3,661,23
二小,118,4,90,3,91,3,80,2,86,3,97,3,562,21
三小,128,4,154,5,161,4,145,4,162,5,127,4,877,26
四小,95,3,90,3,95,3,100,3,101,3,82,3,563,18
東小,128,4,136,4,132,4,112,3,119,3,96,3,723,24
前原小,111,4,107,4,92,3,101,3,88,3,120,3,619,20
本町小,98,3,89,3,90,3,98,3,75,2,91,3,541,17
緑小,116,4,114,4,129,4,109,3,107,3,124,4,699,22
南小,98,3,116,4,93,3,81,3,102,3,91,3,581,19
合計,"1,036",33,"1,005",34,989,30,919,27,941,28,936,29,"5,826",190
