,,指定番号,条例種別,分類,名　　　称,員数,時代,所在地,所有者等,指定年月日
国指定文化財等一覧,1,―,史跡,,玉川上水,,近世～,東京都羽村市～東京都渋谷区,東京都,平成15.08.27
国指定文化財等一覧,2,―,名勝,,小金井(サクラ）,,近世～,東京都小平市～東京都武蔵野市,東京都,大正13.12.09
国指定文化財等一覧,3,―,重要文化財,考古資料,土製耳飾／調布市布田町下布田遺跡出土,,縄文時代,東京都小金井市桜町3-7-1,東京都,昭和54.06.06
国指定文化財等一覧,4,―,登録有形文化財,建造物,旧中村研一邸主屋,1棟,近代,東京都小金井市中町1-11-3,小金井市,平成31.03.29
国指定文化財等一覧,5,―,登録有形文化財,建造物,旧中村研一邸茶室（花侵庵）,1棟,近代,東京都小金井市中町1-11-3,小金井市,平成31.03.29
東京都指定文化財一覧,1,―,旧跡,,金井原古戦場,,中世,東京都小金井市前原町一帯,,昭和11.03.04
東京都指定文化財一覧,2,―,無形文化財,芸能,江戸の糸あやつり人形,,近世～,東京都小金井市貫井北町3-18-2,結城座,昭和31.03.03
東京都指定文化財一覧,3,―,有形文化財,建造物,旧自証院霊屋,1棟,近世,東京都小金井市桜町3-7-1,東京都,昭和35.02.13
東京都指定文化財一覧,4,―,有形文化財,考古資料,茂呂遺跡出土石器,,旧石器時代,東京都小金井市桜町3-7-1,東京都,平成11.03.03
東京都指定文化財一覧,5,―,有形文化財,建造物,旧前川家住宅主屋,1棟,近代,東京都小金井市桜町3-7-1,東京都,平成27.03.16
東京都指定文化財一覧,6,―,有形文化財,建造物,旧小出邸,1棟,近代,東京都小金井市桜町3-7-1,東京都,平成31.03.29
東京都指定文化財一覧,7,―,有形文化財,建造物,旧三井家本邸,1棟,近代,東京都小金井市桜町3-7-1,東京都,平成31.03.29
小金井市指定文化財一覧,1,第1号,有形文化財,彫刻,応永廿九年銘薬師如来立像,1体,1422,東京都小金井市梶野町2-7-5,長昌寺,昭和48.02.13
小金井市指定文化財一覧,2,第2号,有形民俗文化財,,渡辺家墓地月待板碑（付１基）,2基,1538,東京都小金井市中町4-9,共同管理,昭和48.02.13
小金井市指定文化財一覧,3,第3号,有形民俗文化財,,寛文六年庚申塔,1基,1666,東京都小金井市中町4-11,金蔵院,昭和48.02.13
