年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high／senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成23,2011,0,総数 ,Total,,,4548,2,42,2326577,1209559,1117018,…,146208,…
平成24,2012,0,総数 ,Total,,,4512,1,44,2320005,1204052,1115953,…,146894,…
平成25,2013,0,総数 ,Total,,,4495,1,44,2325159,1203092,1122067,…,147651,…
平成25,2013,0,総数 ,Total,小学校,Elementary schools,1358,-,-,585535,299332,286203,37345,32335,5010
平成25,2013,0,総数 ,Total,中学校,Junior high schools,818,1,20,312764,158290,154474,28789,19406,9383
平成25,2013,0,総数 ,Total,高等学校,Senior high schools,431,-,16,312593,153505,159088,29857,19009,10848
平成25,2013,0,総数 ,Total,中等教育学校,Secondary education schools,8,-,8,6422,3062,3360,697,495,202
平成25,2013,0,総数 ,Total,大学,Colleges and Universities,139,-,-,722773,403301,319472,116041,49187,66854
平成25,2013,0,総数 ,Total,短期大学,Junior colleges,43,-,-,16737,1415,15322,3932,958,2974
平成25,2013,0,総数 ,Total,高等専門学校,Colleges of technology,3,-,-,3385,3030,355,…,272,…
平成25,2013,0,総数 ,Total,特別支援学校,Special needs schools,69,-,-,12367,8017,4350,6418,5868,550
平成25,2013,0,総数 ,Total,幼稚園,Kindergartens,1039,-,-,172467,87183,85284,12535,10795,1740
平成25,2013,0,総数 ,Total,高等学校通信制,Senior high school correspondence course,13,-,-,13742,7514,6228,1074,296,778
平成25,2013,0,総数 ,Total,専修学校,Specialized training schools,413,-,-,144189,68090,76099,23706,7427,16279
平成25,2013,0,総数 ,Total,各種学校,Miscellaneous schools,161,-,-,22185,10353,11832,3178,1603,1575
平成25,2013,1,国立 ,National,総数,Total,41,-,2,86461,56442,30019,…,9043,…
平成25,2013,1,国立 ,National,小学校,Elementary schools,6,-,-,4075,2032,2043,217,171,46
平成25,2013,1,国立 ,National,中学校,Junior high schools,6,-,-,2783,1499,1284,298,138,160
平成25,2013,1,国立 ,National,高等学校,Senior high schools,6,-,-,3316,1896,1420,381,208,173
平成25,2013,1,国立 ,National,中等教育学校,Secondary education schools,2,-,2,1422,641,781,157,96,61
平成25,2013,1,国立 ,National,大学,Colleges and Universities,12,-,-,72970,49016,23954,13713,8085,5628
平成25,2013,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成25,2013,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,1020,913,107,…,81,…
