男女別階層,男女区分 ,Male Female classification,年齢階層,項番 Item number,年齢,Age,１０歳以上推定人口(千人) Estimated population 10 years and over(in 1，000),１次活動 Primary activities,１次活動 Primary activities／睡眠 Sleep,１次活動 Primary activities／身の回りの用事 Personal care,１次活動 Primary activities／食事 Meals,２次活動 Secondary activities,２次活動 Secondary activities／通勤・通学 Commuting to and from school or work,２次活動 Secondary activities／仕事 Work ,２次活動 Secondary activities／学業 Schoolwork,２次活動 Secondary activities／家事 Housework,２次活動 Secondary activities／介護・看護 Caring or nursing,２次活動 Secondary activities／育児 Child care,２次活動 Secondary activities／買い物 Shopping,３次活動 Tertiary activities,３次活動 Tertiary activities／移動(通勤・通学を除く) Moving (excluding commuting),３次活動 Tertiary activities／テレビ・ラジオ・新聞・雑誌 Watching TV， listening to the radio， reading newspapers or magazines ,３次活動 Tertiary activities／休養・くつろぎ Rest and relaxation,３次活動 Tertiary activities／学習・自己啓発・訓練(学業以外) Learning， self-education， and training ( excluding schoolwork ),３次活動 Tertiary activities／趣味・娯楽 Hobbies and amusements ,３次活動 Tertiary activities／スポーツ Sports,３次活動 Tertiary activities／ボランティア活動・社会参加活動 Volunteer and social activities,３次活動 Tertiary activities／交際・付き合い Social life,３次活動 Tertiary activities／受診・療養 Medical examination or treatment,３次活動 Tertiary activities／その他 Other activities
0,総数 ,Total,0,,,,11998,642,457,82,103,422,39,220,36,81,4,14,28,376,32,130,86,16,48,14,4,23,9,14
0,総数 ,Total,1,1,10～14歳 ,10-14 years old,497,673,515,62,96,401,34,-,351,6,-,-,9,366,22,77,85,40,65,48,2,17,2,9
0,総数 ,Total,1,2,15～24歳,15-24 years old,1325,637,469,75,93,417,65,139,175,18,1,3,17,386,29,74,94,40,83,17,1,36,2,11
0,総数 ,Total,1,3,25～34歳,25-34 years old,1977,629,460,78,91,485,55,327,4,45,1,28,24,326,37,74,84,12,54,11,5,35,6,9
0,総数 ,Total,1,4,35～44歳,35-44 years old,2279,610,437,77,96,520,46,310,4,91,3,37,29,311,36,89,88,14,38,7,3,15,6,14
0,総数 ,Total,1,5,45～54歳,45-54 years old,1686,613,431,81,102,491,44,297,1,108,4,6,31,336,31,124,76,10,39,10,5,18,11,13
0,総数 ,Total,1,6,55～64歳,55-64 years old,1671,629,433,87,109,434,32,241,2,112,11,4,32,377,34,163,69,9,40,15,4,21,5,18
0,総数 ,Total,1,7,65～74歳,65-74 years old,1387,670,465,87,118,292,13,108,-,119,7,4,41,478,35,210,86,13,50,23,3,20,14,23
0,総数 ,Total,1,8,75歳以上,75 and over,1176,747,516,103,127,175,3,42,1,94,5,1,30,518,25,251,112,12,34,11,5,18,30,19
1,男 ,Male,0,,総数 ,Total,5933,630,460,71,99,424,49,296,36,17,2,6,18,386,32,132,86,18,57,16,3,21,8,13
1,男 ,Male,1,9,10～14歳 ,10-14 years old,254,667,526,45,96,390,31,-,344,7,-,-,7,382,22,88,84,28,72,57,2,18,3,8
1,男 ,Male,1,10,15～24歳,15-24 years old,676,605,461,59,85,423,64,162,174,11,-,-,11,411,31,67,97,44,103,20,1,37,-,11
1,男 ,Male,1,11,25～34歳,25-34 years old,1016,617,456,73,88,497,64,394,2,9,1,11,17,327,35,73,82,13,68,12,1,31,4,6
1,男 ,Male,1,12,35～44歳,35-44 years old,1168,587,431,67,88,541,63,428,4,12,-,15,18,313,34,89,92,18,43,8,2,13,4,10
1,男 ,Male,1,13,45～54歳,45-54 years old,869,617,446,70,101,493,56,384,1,23,1,5,22,330,30,121,75,11,41,11,5,14,11,11
1,男 ,Male,1,14,55～64歳,55-64 years old,839,638,444,85,108,416,45,333,-,17,3,1,17,386,31,174,67,10,45,16,4,21,3,14
1,男 ,Male,1,15,65～74歳,65-74 years old,643,663,477,74,112,246,19,162,-,33,4,3,26,531,35,230,96,20,62,24,3,15,14,33
1,男 ,Male,1,16,75歳以上,75 and over,467,749,531,85,133,125,4,62,-,33,4,2,20,565,29,297,101,13,42,16,4,16,33,13
1,女 ,Female,0,,総数 ,Total,6065,654,454,92,107,419,29,146,36,142,7,21,38,367,33,127,85,14,39,12,5,25,10,16
1,女 ,Female,1,17,10～14歳 ,10-14 years old,243,679,503,79,97,412,38,-,359,4,-,-,11,350,23,65,86,52,59,38,1,16,1,9
1,女 ,Female,1,18,15～24歳,15-24 years old,649,669,477,92,100,411,65,114,176,25,2,5,24,359,26,81,91,36,63,13,2,34,3,10
1,女 ,Female,1,19,25～34歳,25-34 years old,961,641,464,84,94,472,47,257,6,83,2,46,32,326,38,75,86,10,40,10,8,40,8,12
1,女 ,Female,1,20,35～44歳,35-44 years old,1111,634,442,88,104,498,28,186,3,174,5,60,41,309,37,89,84,11,34,7,5,18,8,18
1,女 ,Female,1,21,45～54歳,45-54 years old,817,610,415,91,103,489,32,205,2,198,6,6,40,341,32,128,76,9,37,9,4,21,10,15
1,女 ,Female,1,22,55～64歳,55-64 years old,832,620,422,89,109,451,19,149,3,207,19,6,48,368,36,153,70,8,34,13,5,21,7,22
1,女 ,Female,1,23,65～74歳,65-74 years old,744,676,455,98,122,332,8,62,1,193,10,5,53,432,35,193,78,6,40,22,4,25,14,15
1,女 ,Female,1,24,75歳以上,75 and over,709,745,507,115,124,208,2,28,1,135,5,1,36,487,22,221,119,11,29,7,6,19,28,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-19  男女，年齢階級，行動の種類別総平均時間(週全体) (平成23年) 17-19  AVERAGE TIME SPENT PER DAY ON ACTIVITIES BY GENDER， AGE GROUP， AND TYPE OF ACTIVITY ( DAILY AVERAGE OF FULL WEEK ) ( 2011 ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 総務省統計局「社会生活基本調査」 Source: Ministry of Internal Affairs and Communications       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢階層（0:総数　1:10歳～74歳・75歳以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　分）( In　minutes ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
