男女区分 ,Male female classification,区分 ,Classification,マーク Mark,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,Male,握力 (kg) ,Grip strength (kg),,9,10.9,12.8,14.7,16.8,19.6,23.1,28.6,33.8,37.7,40.2,41.9,37.2,39.5,40.9,41.7
男 ,Male,上体起こし (回) ,Sit-ups (times),,10.7,13.6,15.8,18,19.8,21.7,23.8,27.1,29.2,29.1,30.4,30.8,24.9,24.9,24.9,24.8
男 ,Male,長座体前屈 (cm),Sit and reach (cm),,25.5,27.3,29.4,31.1,33.4,35.7,37.2,40.9,44.6,45.8,47.8,48.8,41.8,42.6,43.1,42.2
男 ,Male,反復横とび (点) ,Side step (points)　　,,26.2,30.2,33.6,37.7,41.4,44.5,47.4,50.3,52.6,54.5,56,56.5,49,49.8,49.5,49.4
男 ,Male,持久走 (秒) ,1500m run (seconds),,…,…,…,…,…,…,431.6,394.9,380.2,393.1,383,385.6,441.7,432.4,437.3,430.1
男 ,Male,20ｍシャトルラン (回) ,20m shuttle run (times),,15.9,26.1,35.2,43.4,50.5,57.9,65.8,80.2,87.8,83.3,91.1,89.8,58.5,62.6,62,56.8
男 ,Male,50ｍ走 (秒) ,50m run (seconds),,11.5,10.6,10,9.6,9.3,8.9,8.6,8,7.6,7.5,7.4,7.3,7.8,7.7,7.6,7.7
男 ,Male,立ち幅とび (cm) ,Standing long jump (cm),,111.1,122.8,133.1,142.4,151.4,162,174,190,204.4,214.7,221.1,225.8,205.7,209.5,214,213.7
男 ,Male,ハンドボール投げ (m),Handball throw (m)  ,1),7.7,11.3,15.1,18.8,22.5,26.3,17.5,20.2,22.8,23.9,25.1,25.8,21.9,22.6,23.3,23
女,Female,握力 (kg) ,Grip strength (kg),,8.4,10.2,12,13.9,16.3,19.3,21.2,23.3,24.5,25.2,26,26.2,24.2,25.2,25.5,25.9
女,Female,上体起こし (回) ,Sit-ups (times),,10.3,13.1,15.1,17,18.4,19.6,20.1,22.8,23.5,22.6,23,22.8,17.9,18.3,17.6,17.4
女,Female,長座体前屈 (cm),Sit and reach (cm),,28.1,30.5,32.9,35.1,37.8,40.7,41.6,43.8,45.4,45.5,46.3,46.7,42.2,42.3,41.8,40.9
女,Female,反復横とび (点) ,Side step (points)　　,,25.1,28.7,31.9,35.7,39.1,41.7,43.3,44.8,45.1,46.4,46.9,46.6,41.3,41.3,40.7,39.8
女,Female,持久走 (秒) ,1000m run (seconds),,…,…,…,…,…,…,310.3,295.5,297.3,314.1,312.7,317.3,350.4,354.6,358.9,360.5
女,Female,20ｍシャトルラン (回) ,20m shuttle run (times),,13.3,19.6,25.4,31.7,37.4,42.9,45.8,54,54.4,49,52.5,51.1,29,31.7,32.5,28.5
女,Female,50ｍ走 (秒) ,50m run (seconds),,11.8,10.9,10.4,9.9,9.5,9.2,9.1,8.9,8.8,9,9,9,9.4,9.4,9.5,9.6
女,Female,立ち幅とび (cm) ,Standing long jump (cm),,103.9,114.8,125.1,134.8,143.5,152.4,158.2,162.5,164.8,166.9,168.1,168.3,150.9,153.1,151,149.7
女,Female,ハンドボール投げ (m),Handball throw (m)  ,1),5.3,7,8.9,11,12.9,14.8,10.7,12.1,13,13.4,13.8,14,11.6,12.1,12,12.3
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (平成25年) 17-3  RESULTS OF PHYSICAL FITNESS TESTS ( 2013 ),,,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,,
Note: 1) Softball throw for elementary school students.   ,,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,,
