年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成23,2011,総数,Total,97284,47935,49349,1169,39762,56353,94080,3204
平成24,2012,総数,Total,98500,48346,50154,1142,40658,56700,95249,3251
平成25,2013,総数,Total,101970,49702,52268,1096,42908,57966,98478,3492
平成25,2013,進学者(A),Enrollment in higher education institutions(A),66451,30598,35853,672,21946,43833,65664,787
平成25,2013,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,63266,30308,32958,671,20320,42275,62574,692
平成25,2013,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,3077,255,2822,1,1575,1501,3003,74
平成25,2013,進学者(A)／大学・短期大学の通信教育部及び放送大学,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges and The University of the Air,46,25,21,-,36,10,28,18
平成25,2013,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,3,2,1,-,2,1,3,-
平成25,2013,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,58,7,51,-,12,46,55,3
平成25,2013,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,1,1,-,-,1,-,1,-
平成25,2013,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),13248,5688,7560,8,8775,4465,12547,701
平成25,2013,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),6838,4274,2564,1,3031,3806,6781,57
平成25,2013,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),334,252,82,-,308,26,214,120
平成25,2013,就職者,Employed,5989,3712,2277,2,4827,1160,5339,650
平成25,2013,一時的な仕事に就いた者,Temporary workers,1070,385,685,-,928,142,733,337
平成25,2013,上記以外の者,Persons other than the above,8019,4783,3236,413,3092,4514,7179,840
平成25,2013,不詳・死亡,Unknown or deceased,21,10,11,-,1,20,21,-
平成25,2013,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,20,7,13,-,18,2,12,8
平成25,2013,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,9,5,4,-,9,-,4,5
平成25,2013,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,11,2,9,-,9,2,8,3
平成25,2013,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,-,-,-,-,-,-,-,-
平成25,2013,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-,-,-
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成23～25年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2011-2013 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本調査報告」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
