地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／計 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／高齢者 Seniors,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／女性 Women,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and Programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and Programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and Programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and Programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／新生活運動 New Community Practices,学級・事業数 Classes and Programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,826,10497,7045,307,253,1970,130,1256,3129,228,559,250,126,210,89,927,853,39,9,162
1,13100,,区部,All ku,408,5944,4303,157,133,1562,57,862,1532,124,213,121,77,167,18,494,317,31,8,71
2,13101,1,千代田区,Chiyoda-ku,9,36,16,-,-,3,-,2,11,-,12,5,2,-,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,173,155,12,-,71,-,-,72,3,6,-,1,2,-,2,2,-,-,2
2,13103,3,港区,Minato-ku,11,89,73,-,5,25,-,1,42,1,7,4,-,-,-,-,3,-,-,1
2,13104,4,新宿区,Shinjuku-ku,23,175,135,-,7,101,1,7,19,1,18,7,10,-,-,-,-,-,-,4
2,13105,5,文京区,Bunkyo-ku,20,171,134,1,-,2,-,12,119,2,6,-,1,4,13,5,5,-,-,1
2,13106,6,台東区,Taito-ku,20,223,154,5,5,54,-,9,81,13,8,8,1,7,1,27,-,1,-,3
2,13107,7,墨田区,Sumida-ku,9,89,40,-,-,35,-,1,4,2,-,4,1,1,-,9,20,7,-,5
2,13108,8,江東区,Koto-ku,16,174,129,-,7,9,6,98,9,14,10,8,1,-,-,2,-,10,-,-
2,13109,9,品川区,Shinagawa-ku,17,635,588,65,-,518,-,5,-,14,4,5,3,-,-,10,8,-,-,3
2,13110,10,目黒区,Meguro-ku,19,90,41,-,1,11,3,7,19,4,6,2,3,1,-,3,25,-,-,5
2,13111,11,大田区,Ota-ku,20,174,94,-,11,41,4,-,38,9,39,3,7,-,-,2,7,3,8,2
2,13112,12,世田谷区,Setagaya-ku,29,556,332,22,-,213,2,7,88,16,35,16,3,147,-,3,-,4,-,-
2,13113,13,渋谷区,Shibuya-ku,23,71,31,5,-,-,-,20,6,-,2,5,-,-,-,5,24,-,-,4
2,13114,14,中野区,Nakano-ku,12,39,10,3,7,-,-,-,-,-,-,1,-,-,-,15,9,-,-,4
2,13115,15,杉並区,Suginami-ku,21,95,42,-,-,13,4,-,25,-,-,1,1,-,-,9,37,-,-,5
2,13116,16,豊島区,Toshima-ku,16,308,192,-,25,22,10,-,135,9,1,8,1,-,-,86,6,-,-,5
2,13117,17,北区,Kita-ku,19,131,28,1,-,15,4,4,4,4,1,13,1,-,-,11,72,-,-,1
2,13118,18,荒川区,Arakawa-ku,13,86,46,-,4,7,-,4,31,2,5,4,1,-,1,9,12,1,-,5
2,13119,19,板橋区,Itabashi-ku,21,463,358,-,7,82,7,19,243,5,31,10,4,1,-,1,47,1,-,5
2,13120,20,練馬区,Nerima-ku,13,677,606,2,-,77,4,512,11,7,9,5,4,3,3,13,23,3,-,1
2,13121,21,足立区,Adachi-ku,35,1010,975,41,42,263,9,147,473,11,6,3,-,-,-,-,11,-,-,4
2,13122,22,葛飾区,Katsushika-ku,19,211,112,-,-,-,3,7,102,1,5,2,31,-,-,51,4,-,-,5
2,13123,23,江戸川区,Edogawa-ku,14,268,12,-,12,-,-,-,-,6,2,7,1,1,-,231,2,1,-,5
1,13200,,市部,All shi,371,4361,2656,145,96,406,71,374,1564,101,310,120,49,31,69,406,526,8,1,84
2,13201,1,八王子市,Hachioji-shi,15,789,581,25,18,41,-,26,471,5,12,4,-,7,52,8,117,-,-,3
2,13202,2,立川市,Tachikawa-shi,29,291,220,9,9,101,-,19,82,8,31,2,1,5,-,10,6,1,-,7
2,13203,3,武蔵野市,Musashino-shi,4,141,109,2,4,3,21,40,39,-,2,5,1,-,1,23,-,-,-,-
2,13204,4,三鷹市,Mitaka-shi,9,89,69,14,-,1,-,11,43,3,6,7,1,-,-,3,-,-,-,-
2,13205,5,青梅市,Ome-shi,19,188,129,1,-,15,-,32,81,1,2,2,-,-,2,26,21,-,-,5
2,13206,6,府中市,Fuchu-shi,30,271,143,1,16,46,-,-,80,1,8,18,2,-,-,26,71,-,-,2
2,13207,7,昭島市,Akishima-shi,20,83,25,2,-,5,-,-,18,15,29,3,-,1,-,7,-,-,-,3
2,13208,8,調布市,Chofu-shi,21,295,169,16,-,30,9,31,83,4,20,7,3,-,1,42,47,-,-,2
2,13209,9,町田市,Machida-shi,19,286,199,11,2,16,4,69,97,2,21,12,-,3,-,5,41,-,-,3
2,13210,10,小金井市,Koganei-shi,12,140,99,5,-,27,6,11,50,1,10,3,2,-,2,13,4,-,-,6
2,13211,11,小平市,Kodaira-shi,24,157,85,2,7,14,3,13,46,4,28,3,1,2,1,21,3,5,1,3
2,13212,12,日野市,Hino-shi,14,167,107,8,-,25,-,14,60,2,11,6,3,-,-,11,22,-,-,5
2,13213,13,東村山市,Higashimurayama-shi,13,121,18,2,2,1,-,2,11,2,6,-,-,3,-,13,76,-,-,3
2,13214,14,国分寺市,Kokubunji-shi,17,174,108,2,1,16,2,7,80,5,16,5,3,-,2,30,-,2,-,3
2,13215,15,国立市,Kunitachi-shi,10,110,53,2,1,-,8,2,40,-,2,11,8,1,1,7,21,-,-,6
2,13218,16,福生市,Fussa-shi,13,134,71,5,10,3,-,8,45,18,14,2,1,-,-,23,4,-,-,1
2,13219,17,狛江市,Komae-shi,3,37,17,4,5,-,1,6,1,-,6,1,1,-,4,5,-,-,-,3
2,13220,18,東大和市,Higashiyamato-shi,9,130,39,3,-,6,4,8,18,8,20,2,2,-,-,20,38,-,-,1
2,13221,19,清瀬市,Kiyose-shi,10,129,76,12,7,-,-,-,57,7,6,1,1,2,-,7,27,-,-,2
2,13222,20,東久留米市,Higashikurume-shi,6,51,25,-,-,4,-,-,21,1,2,5,2,-,-,16,-,-,-,-
2,13223,21,武蔵村山市,Musashimurayama-shi,5,32,6,2,-,1,-,-,3,1,2,5,2,-,-,1,9,-,-,6
2,13224,22,多摩市,Tama-shi,15,113,70,6,-,24,1,14,25,1,24,3,1,-,-,7,-,-,-,7
2,13225,23,稲城市,Inagi-shi,11,58,28,4,3,9,1,-,11,6,10,2,2,3,1,6,-,-,-,-
2,13227,24,羽村市,Hamura-shi,8,60,27,-,1,3,1,4,18,-,-,-,1,4,2,4,19,-,-,3
2,13228,25,あきる野市,Akiruno-shi,22,37,19,2,-,2,-,-,15,6,-,-,1,-,-,4,-,-,-,7
2,13229,26,西東京市,Nishitokyo-shi,13,278,164,5,10,13,10,57,69,-,22,11,10,-,-,68,-,-,-,3
1,13300,,郡部,All gun,21,100,30,5,-,1,1,6,17,3,19,5,-,5,1,25,8,-,-,4
