年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成23,2011,総数,Total,102110,51403,50707,941,74271,26898
平成24,2012,総数,Total,104071,52403,51668,931,76109,27031
平成25,2013,総数,Total,103446,52017,51429,926,76539,25981
平成25,2013,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,101677,50968,50709,922,74928,25827
平成25,2013,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,95185,47112,48073,920,68609,25656
平成25,2013,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,3704,2080,1624,-,3677,27
平成25,2013,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,1288,694,594,1,1165,122
平成25,2013,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,1,-,1,-,1,-
平成25,2013,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
平成25,2013,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
平成25,2013,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
平成25,2013,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,440,382,58,1,431,8
平成25,2013,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1059,700,359,-,1045,14
平成25,2013,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,-,-,-,-,-,-
平成25,2013,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),405,215,190,-,375,30
平成25,2013,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,203,107,96,1,200,2
平成25,2013,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,40,36,4,-,39,1
平成25,2013,(E)就職者,(E)Employed,338,268,70,-,338,-
平成25,2013,(F)上記以外の者,(F)Persons other than the above,778,421,357,3,654,121
平成25,2013,(G)不詳・死亡,(G)Unknown or deceased,5,2,3,-,5,-
平成25,2013,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,47,31,16,-,47,-
平成25,2013,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,44,29,15,-,44,-
平成25,2013,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,-,-,-,-,-,-
平成25,2013,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,1,1,-,-,1,-
平成25,2013,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,2,1,1,-,2,-
平成25,2013,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,4010,2745,1265,56,3473,481
,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成23～25年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2011-2013 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本調査報告」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
