年次,Year,総数 Total／出願件数 Number of applications,総数 Total／登録件数 Number of registrations,特許 Patents／出願件数 Number of applications,特許 Patents／登録件数 Number of registrations,実用新案 Utility models／出願件数 Number of applications,実用新案 Utility models／登録件数 Number of registrations,意匠 Designs／出願件数 Number of applications,意匠 Designs／登録件数 Number of registrations,商標Trademarks／出願件数 Number of applications,商標Trademarks／登録件数 Number of registrations
平成23,2011,194468,144137,146077,102416,1510,1432,9361,8229,37520,32060
平成24,2012,200188,160364,146300,115692,1573,1552,10001,8926,42314,34194
平成25,2013,191705,166441,139603,117970,1535,1488,9499,9138,41068,37845
,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-15  産業財産権 (平成23～25年) 17-15  INDUSTRIAL PROPERTY RIGHTS ( 2011-2013 ),,,,,,,,,,,
資料：特許庁「特許行政年次報告書」（ホームページ） Source: Japan Patent Office,,,,,,,,,,,
