"年度[西暦]","一般財源比率（一般会計）指標[%]","自主財源比率（一般会計）指標[%]","経常収支比率（普通会計) 指標[%]","実質公債費比率 指標[%]","年度末区債残高（一般会計）残高[百万円]"
2013,70.0,72.2,72.1,-0.9,5419
2014,60.3,78.0,64.0,-1.4,4067
2015,75.6,70.9,65.4,-1.9,2767
2016,74.0,72.0,68.0,-2.2,1828
2017,55.1,77.5,67.5,-2.5,1092

"平成30年度港区行政資料集　各種財政指標","Ver201803",,,,
