部類,増加した業者(％),維持した業者(％),減少した業者(％),不明(％),備考
全体,44.6,11.5,39.1,4.8,
水産物部,41.2,11.6,41.2,6.0,
青果部,51.1,11.3,34.9,2.7,
花き部,46.3,9.8,41.5,2.4,
食肉部,42.3,15.4,38.5,3.8,
,,,,,※維持は、前年比１％未満の増加及び減少。
