実施年度,実施市場,捕獲数（羽）,実施期間
15,築地、食肉、大田,641,15年8月～16年3月
16,築地、食肉、大田,492,16年8月～17年3月
17,築地、食肉,241,17年8月～18年3月
18,築地、食肉,450,18年5月～19年3月
19,築地、食肉,461,19年4月～20年3月
