食品,量販店（スーパー・生協店舗）(％),専門小売店(％),生協等の宅配（共同購入も含む）(％),その他(％),買わない(％),無回答(％)
野菜・果物,80.0,8.2,5.8,3.6,2.3,0.1
魚・貝類,78.0,9.7,4.9,3.9,3.4,0.1
肉類,77.7,10.4,5.6,3.0,3.2,0.1
