部類,上昇した業者(％),下降した業者(％),不明(％)
全体,47.7,47.5,4.8
水産物部,45.0,49.0,6.0
青果部,50.5,46.8,2.7
花き部,48.8,48.8,2.4
食肉部,76.9,19.3,3.8
