地域／市場,合計,合計構成比（％）,大田市場,大田市場構成比（％）,板橋市場,板橋市場構成比（％）,北足立市場,北足立市場構成比（％）,葛西市場,葛西市場構成比（％）,世田谷市場,世田谷市場構成比（％）,備考,,,,,,,,
合計,758769,100.0,397293,100.0,39665,100.0,66031,100.0,82114,100.0,173666,100.0,,,,,,,,,
都内計,209675,27.6,79468,20.0,23005,58.0,16576,25.1,18947,23.1,71679,41.3,,,,,,,,,
23区計,166250,21.9,65641,16.5,21144,53.3,16576,25.1,18695,22.8,44194,25.4,,,,,,,,,
千代田区,1247,0.2,25,0.0,0,0.0,0,0.0,0,0.0,1222,0.7,,,,,,,,,
中央区,2566,0.3,2337,0.6,35,0.1,55,0.1,140,0.2,0,0.0,,,,,,,,,
港区,5034,0.7,2261,0.6,0,0.0,0,0.0,1987,2.4,786,0.5,,,,,,,,,
新宿区,4505,0.6,1684,0.4,1763,4.4,0,0.0,0,0.0,1058,0.6,,,,,,,,,
文京区,934,0.1,15,0.0,666,1.7,0,0.0,227,0.3,25,0.0,,,,,,,,,
台東区,7542,1.0,5341,1.3,62,0.2,796,1.2,1343,1.6,0,0.0,,,,,,,,,
墨田区,2168,0.3,759,0.2,0,0.0,790,1.2,620,0.8,0,0.0,,,,,,,,,
江東区,1801,0.2,0,0.0,62,0.2,0,0.0,1738,2.1,0,0.0,,,,,,,,,
品川区,9519,1.3,9124,2.3,0,0.0,0,0.0,0,0.0,395,0.2,,,,,,,,,
目黒区,5603,0.7,344,0.1,0,0.0,0,0.0,1648,2.0,3611,2.1,,,,,,,,,
大田区,13945,1.8,10019,2.5,0,0.0,0,0.0,2,0.0,3924,2.3,,,,,,,,,
世田谷区,31789,4.2,7414,1.9,375,0.9,0,0.0,2,0.0,23999,13.8,,,,,,,,,
渋谷区,1540,0.2,20,0.0,215,0.5,0,0.0,33,0.0,1272,0.7,,,,,,,,,
中野区,1830,0.2,0,0.0,715,1.8,0,0.0,0,0.0,1115,0.6,,,,,,,,,
杉並区,14802,2.0,8992,2.3,791,2.0,0,0.0,0,0.0,5018,2.9,,,,,,,,,
豊島区,2348,0.3,0,0.0,1999,5.0,243,0.4,20,0.0,86,0.0,,,,,,,,,
北区,3707,0.5,0,0.0,2235,5.6,972,1.5,461,0.6,38,0.0,,,,,,,,,
荒川区,2613,0.3,5,0.0,42,0.1,1562,2.4,1005,1.2,0,0.0,,,,,,,,,
板橋区,12551,1.7,2079,0.5,8948,22.6,1276,1.9,0,0.0,248,0.1,,,,,,,,,
練馬区,12252,1.6,7713,1.9,3228,8.1,36,0.1,0,0.0,1275,0.7,,,,,,,,,
足立区,10560,1.4,253,0.1,7,0.0,10178,15.4,0,0.0,122,0.1,,,,,,,,,
葛飾区,3736,0.5,0,0.0,0,0.0,304,0.5,3432,4.2,0,0.0,,,,,,,,,
江戸川区,13659,1.8,7257,1.8,0,0.0,365,0.6,6037,7.4,0,0.0,,,,,,,,,
多摩地区計,43174,5.7,13827,3.5,1860,4.7,0,0.0,2,0.0,27485,15.8,,,,,,,,,
西多摩地域,4880,0.6,4880,1.2,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
南多摩(1)地域,5108,0.7,0,0.0,0,0.0,0,0.0,2,0.0,5106,2.9,,,,,,,,,
南多摩(2)地域,4667,0.6,1720,0.4,0,0.0,0,0.0,0,0.0,2948,1.7,,,,,,,,,
北多摩西部(1)地域,2514,0.3,0,0.0,90,0.2,0,0.0,0,0.0,2424,1.4,,,,,,,,,
北多摩西部(2)地域,491,0.1,0,0.0,0,0.0,0,0.0,0,0.0,491,0.3,,,,,,,,,
北多摩西部(3)地域,3286,0.4,1285,0.3,14,0.0,0,0.0,0,0.0,1988,1.1,,,,,,,,,
北多摩南部地域,18899,2.5,4880,1.2,423,1.1,0,0.0,0,0.0,13595,7.8,,,,,,,,,
北多摩北部地域,2266,0.3,0,0.0,1333,3.4,0,0.0,0,0.0,934,0.5,,,,,,,,,
島しょ部,1062,0.1,1062,0.3,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
都外計,541835,71.4,311028,78.3,16660,42.0,48993,74.2,63167,76.9,101987,58.7,,,,,,,,,
北海道,381,0.1,152,0.0,229,0.6,0,0.0,0,0.0,0,0.0,,,,,,,,,
青森県,25289,3.3,25287,6.4,0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,
岩手県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
宮城県,1765,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1765,1.0,,,,,,,,,
秋田県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,
