品目,一日平均入荷量(トン),前週比(％),前年同期比(％),取引,産地,単位Kg,価格高値,価格中値,価格安値,前週比(％),前年同期比(％)
だいこん,512,100,76,せり,北海道,10,1836,,,,
だいこん,512,100,76,相対,北海道,10,1836,1102,324,96,74
にんじん,370,97,92,せり,北海道,10,,,,,
にんじん,370,97,92,相対,北海道,10,1296,864,324,103,23
キャベツ,793,112,116,せり,群馬,10,1620,,,,
キャベツ,793,112,116,相対,群馬,10,1620,1123,324,108,101
レタス,354,110,125,せり,長野,10,3240,,,,
レタス,354,110,125,相対,長野,10,3240,1361,432,70,83
はくさい,464,120,89,せり,長野,15,2700,,,,
はくさい,464,120,89,相対,長野,15,2700,1534,1080,87,121
こまつな,66,107,121,せり,茨城,0.25,,,,,
こまつな,66,107,121,相対,茨城,0.25,108,60,32,116,69
ほうれんそう,49,120,110,せり,群馬,0.2,216,,,,
ほうれんそう,49,120,110,相対,群馬,0.2,216,121,54,72,80
ねぎ,214,101,89,せり,青森,5,2484,,,,
ねぎ,214,101,89,相対,青森,5,2376,1598,540,101,81
きゅうり,343,101,105,せり,福島,5,,,,,
きゅうり,343,101,105,相対,福島,5,2376,1339,540,73,75
かぼちゃ,138,84,70,せり,北海道,10,,,,,
かぼちゃ,138,84,70,相対,北海道,10,2376,1274,324,93,68
なす,180,110,113,せり,栃木,5,3456,,,,
なす（ながなす含む）,,,,相対,栃木,5,3456,1706,648,77,95
トマト,369,118,114,せり,福島,4,,,,,
トマト,369,118,114,相対,福島,4,2376,1512,1080,75,
ミニトマト,88,112,123,せり,北海道,3,,,,,
ミニトマト,88,112,123,相対,北海道,3,4104,3067,756,100,128
ピーマン,108,117,107,せり,茨城,0.15,119,,,,
ピーマン（ジャンボピーマンを除く）,,,,相対,茨城,0.15,119,71,54,93,108
とうもろこし,56,63,79,せり,北海道,5,,,,,
とうもろこし,56,63,79,相対,北海道,5,1728,1015,648,94,94
えだまめ,58,94,104,せり,秋田,0.25,,,,,
えだまめ,58,94,104,相対,秋田,0.25,216,112,54,96,76
じゃがいも,411,99,98,せり,北海道,10,,,,,
じゃがいも,411,99,98,相対,北海道,10,2484,,,,
さつまいも,153,108,92,せり,千葉,5,1620,,,,
さつまいも,153,108,92,相対,千葉,5,1620,1015,324,96,94
さといも,46,118,92,せり,千葉,4,,,,,
さといも,46,118,92,相対,千葉,4,2160,1166,324,92,79
たまねぎ,477,90,81,せり,北海道,20,,,,,
たまねぎ,477,90,81,相対,北海道,20,2160,,1404,,
なましいたけ,25,104,103,せり,岩手,0.1,,,,,
なましいたけ,25,104,103,相対,岩手,0.1,184,117,32,106,60
まつたけ,2,96,77,せり,国内,0.4,59400,,,,
まつたけ,2,96,77,相対,国内,0.4,,,,,
総入荷量,6207,104,97,,,,,,,,
