取扱品目,市場名,所在地,緯度,経度,座標系
水産物青果物,東京都中央卸売市場築地市場（豊洲市場への移転まで）,中央区築地五丁目２番１号,139.768587,35.663500,JGD2011
水産物青果物,東京都中央卸売市場豊洲市場（豊洲市場への移転後）,江東区豊洲六丁目６番１号,139.784285,35.644081,JGD2011
食肉,東京都中央卸売市場食肉市場,港区港南二丁目７番19号,139.743933,35.627721,JGD2011
水産物青果物花き,東京都中央卸売市場大田市場,大田区東海三丁目２番１号,139.760735,35.581020,JGD2011
青果物,東京都中央卸売市場豊島市場,豊島区巣鴨五丁目１番５号,139.735522,35.738036,JGD2011
青果物,東京都中央卸売市場淀橋市場,新宿区北新宿四丁目２番１号,139.693644,35.705605,JGD2011
水産物,東京都中央卸売市場足立市場,足立区千住橋戸町50番地,139.800506,35.740307,JGD2011
青果物花き,東京都中央卸売市場板橋市場,板橋区高島平六丁目１番５号,139.652114,35.793107,JGD2011
青果物花き,東京都中央卸売市場世田谷市場,世田谷区大蔵一丁目４番１号,139.621382,35.632603,JGD2011
青果物花き,東京都中央卸売市場北足立市場,足立区入谷六丁目３番１号,139.764267,35.798618,JGD2011
青果物,東京都中央卸売市場多摩ニュータウン市場,多摩市永山七丁目４番地,139.445093,35.610514,JGD2011
青果物花き,東京都中央卸売市場葛西市場,江戸川区臨海町三丁目４番１号,139.863460,35.649218,JGD2011
