区分,入荷数量総数,入荷数量野菜,入荷数量果実,入荷数量つけ物,入荷数量その他食料品,入荷数量鳥卵,売上金額総数,売上金額野菜,売上金額果実,売上金額つけ物,売上金額その他食料品,売上金額鳥卵
全市場,97.9,98.2,97.0,101.7,95.7,100.1,103.5,103.3,104.1,104.6,94.9,93.9
築地市場,96.5,96.3,94.8,107.5,99.3,103.6,102.1,102.1,101.3,108.9,97.3,97.4
大田市場,99.0,99.6,97.5,86.3,95.2,97.0,104.1,103.9,105.0,88.8,93.7,91.3
北足立市場,96.7,96.9,96.4,89.6,93.3,97.1,102.3,102.5,102.6,88.7,94.1,89.6
葛西市場,93.3,91.9,98.9,151.1,95.3,93.5,98.9,97.5,103.0,95.6,96.5,86.9
豊島市場,98.8,99.5,93.9,97.9,92.0,101.0,104.1,104.4,103.6,96.6,93.2,92.2
淀橋市場,98.5,98.9,96.9,89.2,99.4,105.0,106.0,106.1,106.1,94.7,96.9,98.2
板橋市場,97.0,96.2,99.8,112.5,86.1,100.2,101.0,100.9,101.4,107.5,83.7,92.8
世田谷市場,97.9,99.4,91.2,65.3,84.1,93.0,103.6,104.4,101.9,93.9,95.2,87.7
多摩ＮＴ市場,97.8,98.2,94.7,99.1,111.7,,105.4,105.2,106.6,97.1,89.1,
