搬出物品,市場,都内23区今回,都内23区前回,都内23区前々回,多摩地区今回,多摩地区前回,多摩地区前々回,都外今回,都外前回,都外前々回,備考,,,,,,,,,,,
水産物,築地市場,45.6,34.5,43.7,10.2,6.2,8.8,42.1,58.0,42.2,,,,,,,,,,,,
水産物,大田市場,37.0,40.4,52.0,15.7,17.1,5.9,44.0,42.4,33.7,,,,,,,,,,,,
水産物,足立市場,58.1,33.3,40.9,4.2,3.7,6.4,37.4,62.7,52.6,,,,,,,,,,,,
水産物,計（水産物）,46.0,34.6,43.9,10.1,6.3,8.5,42.0,57.9,42.4,,,,,,,,,,,,
青果,築地市場,53.3,52.6,61.9,1.1,4.4,4.9,39.0,41.0,32.0,,,,,,,,,,,,
青果,大田市場,38.1,38.4,42.8,9.3,7.1,6.0,52.2,53.3,42.6,,,,,,,,,,,,
青果,豊島市場,65.7,51.2,51.5,2.8,1.0,1.0,31.1,47.4,42.3,,,,,,,,,,,,
青果,淀橋市場,55.4,46.6,56.8,11.8,7.0,11.2,32.7,46.0,28.1,,,,,,,,,,,,
青果,板橋市場,49.0,41.3,45.7,2.3,7.8,5.3,48.7,50.8,47.6,,,,,,,,,,,,
青果,世田谷市場,49.7,45.5,44.0,11.9,10.5,10.1,29.8,43.9,44.4,,,,,,,,,,,,
青果,北足立市場,40.6,54.1,55.3,1.5,2.6,0.5,57.8,38.8,43.9,,,,,,,,,,,,
青果,多摩ニュータウン市場,3.9,1.9,12.0,34.3,55.3,74.4,61.7,41.6,13.7,,,,,,,,,,,,
青果,葛西市場,56.8,64.8,75.5,9.3,0.8,0.0,33.9,33.7,23.3,,,,,,,,,,,,
青果,計（青果物）,45.3,45.2,50.1,7.3,6.0,6.6,46.1,47.4,38.5,,,,,,,,,,,,
畜産物,食肉市場,33.1,42.5,56.4,1.4,0.5,3.4,65.5,55.3,39.8,,,,,,,,,,,,
畜産物,計（畜産物）,33.1,42.5,56.4,1.4,0.5,3.4,65.5,55.3,39.8,,,,,,,,,,,,
切花,大田市場,26.1,23.9,59.5,3.2,4.5,6.7,70.4,69.7,32.0,,,,,,,,,,,,
切花,板橋市場,43.3,47.3,48.1,12.1,7.7,5.9,44.6,44.9,40.9,,,,,,,,,,,,
切花,北足立市場,55.7,35.1,50.5,1.8,0.0,0.9,42.5,64.9,47.7,,,,,,,,,,,,
切花,葛西市場,56.7,37.3,47.4,0.0,0.2,0.0,43.3,60.1,29.3,,,,,,,,,,,,
切花,世田谷市場,37.5,42.6,31.1,28.4,15.9,43.8,14.5,39.8,25.1,,,,,,,,,,,,
切花,計（切花）,34.6,31.4,49.8,5.8,5.3,10.4,57.9,61.8,34.6,,,,,,,,,,,,
鉢物,大田市場,9.7,16.5,30.3,0.3,3.5,9.8,89.6,78.3,59.2,,,,,,,,,,,,
鉢物,板橋市場,63.0,53.3,59.6,5.3,4.7,9.5,31.7,42.0,31.5,,,,,,,,,,,,
鉢物,北足立市場,24.3,25.1,36.0,0.0,0.0,0.0,75.6,74.2,60.7,,,,,,,,,,,,
鉢物,葛西市場,50.1,22.8,31.6,4.3,0.0,0.0,45.5,76.9,58.2,,,,,,,,,,,,
鉢物,世田谷市場,27.5,25.4,35.6,16.9,15.8,36.1,55.3,58.7,24.2,,,,,,,,,,,,
鉢物,計（鉢物）,22.6,21.9,31.7,4.9,5.7,10.8,72.2,71.4,54.8,,,,,,,,,,,,
,,,,,,,,,,,(単位：％）,,,,,,,,,,,
