規模,全体(社),全体(％),水産物部(社),水産物部(％),青果部(社),青果部(％),花き部(社),花き部(％),食肉部(社),食肉部(％)
100億円以上,7,0.7,1,0.2,6,2.0,0,,0,
50～100億円,30,3.1,5,0.8,15,5.0,0,,10,38.5
30～50億円,31,3.2,9,1.5,16,5.3,2,4.9,4,15.4
10～30億円,151,15.3,59,9.6,76,25.2,7,17.0,9,34.6
5～10億円,141,14.3,74,12.0,56,18.6,10,24.4,1,3.8
3～5億円,149,15.2,97,15.8,42,14.0,10,24.4,0,
1～3億円,268,27.3,193,31.4,64,21.3,9,22.0,2,7.7
1億円未満,205,20.9,176,28.7,26,8.6,3,7.3,0,
合計,982,,614,,301,,41,,26,
