区分,種類,合計,第一花き,大田花き,フラワーオークションジャパン,東日本板橋花き,東京フラワーポート,世田谷花き,東京砧花き園芸市場,
受託物品,花き(本),1569998053,165764545,456105450,382769603,140957257,180739034,155375968,88286196,
買付物品,花き(本),64833550,3322950,7983534,35847347,1905263,14066104,1708352,0,
合計,当年度計（Ａ）(本),1634831603,169087495,464088984,418616950,142862520,194805138,157084320,88286196,
合計,前年度計（Ｂ）(本),1648275124,173337293,460111985,421501790,141508382,201559613,163030593,87225468,
合計,前年対比（Ａ/Ｂ）(％),99.18,97.55,100.86,99.32,100.96,96.65,96.35,101.22,
構成比,受託物品(％),96.03,98.03,98.28,91.44,98.67,92.78,98.91,100,
構成比,買付物品(％),3.97,1.97,1.72,8.56,1.33,7.22,1.09,0,
構成比,合計(％),100,100,100,100,100,100,100,100,
,,,,,,,,,,（注）切花換算本数/切花1本=1本/切葉10枚=1本/切枝1束=10本/鉢物1鉢=8本/苗物1箱=50本/その他1箱=50本
