品名,一日平均上場数量(ｔ),一日平均上場数量(ｔ)前週比(％),一日平均上場数量(ｔ)増減,一日平均上場数量(ｔ)前年同期比(％),一日平均上場数量(ｔ)増減,主産地,銘柄,卸売価格(kg/円)及び中値比較高値,卸売価格(kg/円)及び中値比較中値,卸売価格(kg/円)及び中値比較安値,卸売価格(kg/円)及び中値比較前週比(％),卸売価格(kg/円)及び中値比較前年同期比(％),今週の主力（サイズ）
マグロ,33.5,107,増,102,増,各地,生,17820,5119,1404,97,112,
マグロ,33.5,107,増,102,増,海外,生,6264,3520,2160,98,103,
メバチ,53.3,92,減,61,減,各地,冷凍,3240,1239,1026,101,124,
アジ,54.0,103,増,233,増,長崎,中,1728,464,216,90,43,150-170g/尾
アジ,54.0,103,増,233,増,長崎ほか,中小,648,356,324,75,38,110-120g/尾
サバ,23.4,75,減,124,増,長崎,,1620,449,324,124,68,8-10入/5kg
イワシ,33,73,減,121,増,北海道,,1620,281,162,81,50,110-120g/尾
スルメイカ,8.6,35,減,38,減,青森,,1296,963,648,141,133,20-25入/5kg
冷スルメイカ,4.0,211,増,58,減,各地,,1013,,743,,,
サンマ,69,154,増,42,減,北海道,生,3240,1037,540,53,175,30-32入/4kg
サンマ,69,154,増,42,減,各地,解凍,648,,378,,,
カレイ,6.9,58,減,96,減,北海道,マ,1404,,324,,,
カレイ,6.9,58,減,96,減,宮城ほか,マコ,1296,,432,,,
カレイ,6.9,58,減,96,減,北海道,アカ,1188,,324,,,
カレイ,6.9,58,減,96,減,北海道,アサバ,540,432,216,,80,
ハマチ,13.8,128,増,64,減,愛媛ほか,野〆,1026,972,918,100,120,5-6kg/尾
塩サケ,24.2,107,増,109,増,北海道,トキ,1296,1080,864,100,67,
塩サケ,24.2,107,増,109,増,北海道,アキ,594,572,540,100,76,
タラ類,8.5,100,,75,減,青森ほか,生,1404,864,648,114,,4-5kg/尾
タラ類,8.5,100,,75,減,宮城,ぶわ,1026,,864,,,4-7枚入/5kg
カツオ,31.9,83,減,71,減,宮城,,3024,907,324,138,187,3kg/尾
キンメダイ,6.9,110,増,77,減,東京ほか,,6480,2268,1080,102,105,0.5-1.5kg/尾
