年度,23区,多摩,都外,備考,
S33,89.0,1.2,9.8,,
S35,81.1,2.8,16.0,,
S37,82.3,2.9,14.8,,
S39,82.4,3.2,14.3,,
S45,74.5,4.0,21.4,,
S48,64.2,4.8,32.3,,
S51,65.5,5.9,28.7,,
S54,62.7,6.5,30.7,,
S58,61.2,7.8,31.0,,
S61,59.2,6.7,34.1,,
H01,63.6,6.8,29.6,,
H04,62.8,6.3,30.8,,
H07,58.9,6.4,34.4,,
H10,56.7,6.6,36.0,,
H13,47.6,5.1,43.8,,
H16,50.1,6.6,38.5,,
H21,45.2,6.0,47.4,,
,,,,単位：％,
