事項,27年度,26年度,前期比(％),備考
総資産(万円),9580093,9845462,97.30,
負債(万円),5434576,5903359,92.06,
純資産(万円),4145517,3942103,105.16,
自己資本比率(％),43.27,40.04,,
流動比率(％),143.68,138.40,,
,,,,平成26年度（水産物部）においては、決算に一部修正がありましたので、修正後の数値を表示しました。
