地域,割合(％),搬出量(トン)
都内,51.5,
都内23区,45.5,
都内多摩,6.0,
首都圏,34.0,
首都圏埼玉,14.1,
首都圏千葉,9.2,
首都圏神奈川,10.7,
その他,13.4,
不明,1.1,
総数,100,9713
