地域／市場,合計,合計構成比（％）,築地市場,築地市場構成比（％）,大田市場,大田市場構成比（％）,豊島市場,豊島市場構成比（％）,淀橋市場,淀橋市場構成比（％）,板橋市場,板橋市場構成比（％）,世田谷市場,世田谷市場構成比（％）,北足立市場,北足立市場構成比（％）,多摩NT市場,多摩NT市場構成比（％）,葛西市場,葛西市場構成比（％）,備考
合計,9712541,100.0,1372180,100.0,4299780,100.0,539600,100.0,1094553,100.0,634200,100.0,256231,100.0,857500,100.0,57197,100.0,601300,100.0,
都内計,4997534,51.5,788096,57.4,1968509,45.8,281670,52.2,590417,53.9,311511,49.1,143662,56.1,486468,56.7,32742,57.2,394458,65.6,
23区計,4393743,45.2,721098,52.6,1652381,38.4,276326,51.2,510030,46.6,261916,41.3,116698,45.5,464297,54.1,1114,1.9,389883,64.8,
千代田区,85331,0.9,22889,1.7,51404,1.2,944,0.2,3018,0.3,0,0.0,0,0.0,1632,0.2,223,0.4,5221,0.9,
中央区,217493,2.2,81304,5.9,91810,2.1,14223,2.6,5651,0.5,11958,1.9,0,0.0,1188,0.1,0,0.0,11359,1.9,
港区,161265,1.7,63560,4.6,70391,1.6,2223,0.4,9226,0.8,12310,1.9,0,0.0,550,0.1,69,0.1,2936,0.5,
新宿区,314269,3.2,89175,6.5,93066,2.2,21248,3.9,77512,7.1,14391,2.3,8067,3.1,9673,1.1,223,0.4,913,0.2,
文京区,58172,0.6,3761,0.3,26883,0.6,16945,3.1,2104,0.2,0,0.0,525,0.2,6446,0.8,0,0.0,1508,0.3,
台東区,130562,1.3,13373,1.0,48578,1.1,41312,7.7,904,0.1,0,0.0,0,0.0,20227,2.4,0,0.0,6168,1.0,
墨田区,109579,1.1,11179,0.8,58043,1.3,7768,1.4,3945,0.4,0,0.0,0,0.0,2409,0.3,0,0.0,26235,4.4,
江東区,208608,2.1,39165,2.9,99323,2.3,0,0.0,1473,0.1,6431,1.0,0,0.0,7516,0.9,0,0.0,54700,9.1,
品川区,198879,2.0,69785,5.1,79569,1.9,0,0.0,42590,3.9,1782,0.3,0,0.0,0,0.0,0,0.0,5154,0.9,
目黒区,90424,0.9,11824,0.9,53510,1.2,1426,0.3,15407,1.4,0,0.0,7071,2.8,339,0.0,346,0.6,502,0.1,
大田区,567050,5.8,147352,10.7,357269,8.3,0,0.0,31428,2.9,1290,0.2,20260,7.9,2413,0.3,0,0.0,7038,1.2,
世田谷区,260841,2.7,9170,0.7,160472,3.7,1176,0.2,24776,2.3,919,0.1,49822,19.4,11014,1.3,253,0.4,3240,0.5,
渋谷区,129550,1.3,20249,1.5,63203,1.5,965,0.2,23053,2.1,9467,1.5,9673,3.8,445,0.1,0,0.0,2494,0.4,
中野区,128273,1.3,5312,0.4,34009,0.8,1450,0.3,75841,6.9,649,0.1,0,0.0,11014,1.3,0,0.0,0,0.0,
杉並区,122003,1.3,2511,0.2,24339,0.6,2765,0.5,56012,5.1,4486,0.7,21280,8.3,10611,1.2,0,0.0,0,0.0,
豊島区,157217,1.6,33314,2.4,48887,1.1,47514,8.8,16055,1.5,2526,0.4,0,0.0,6078,0.7,0,0.0,2844,0.5,
北区,71140,0.7,5603,0.4,9152,0.2,29363,5.4,6336,0.6,11048,1.7,0,0.0,9372,1.1,0,0.0,265,0.0,
荒川区,62171,0.6,6054,0.4,11594,0.3,9993,1.9,5003,0.5,1650,0.3,0,0.0,26049,3.0,0,0.0,1829,0.3,
板橋区,241524,2.5,15344,1.1,48413,1.1,34267,6.4,15604,1.4,116756,18.4,0,0.0,10088,1.2,0,0.0,1051,0.2,
練馬区,170754,1.8,5856,0.4,31271,0.7,5738,1.1,74666,6.8,44740,7.1,0,0.0,8484,1.0,0,0.0,0,0.0,
足立区,470646,4.8,26479,1.9,70065,1.6,36707,6.8,3365,0.3,21021,3.3,0,0.0,237507,27.7,0,0.0,75502,12.6,
葛飾区,175979,1.8,12701,0.9,54735,1.3,298,0.1,2969,0.3,493,0.1,0,0.0,28584,3.3,0,0.0,76200,12.7,
