名称,卸売業者,仲卸業者,関連事業者流通保管業務,関連事業者物販・飲食業務,関連事業者加工・サービス業務,関連事業者合計,売買参加者,備考
豊洲市場,水産7,水産488,18,110,21,149,水産290,
豊洲市場,青果3,青果96,18,110,21,149,青果578,
食肉市場（と場を含む）,食肉1,食肉25,0,4,5,9,食肉160,
大田市場,水産1,水産39,8,69,5,82,水産17,
大田市場,青果4,青果165,8,69,5,82,青果1161,
大田市場,花き2,花き18,8,69,5,82,花き1529,
豊島市場,青果1,青果10,0,5,1,6,青果198,
淀橋市場,青果1,青果15,0,5,2,7,青果529,
足立市場,水産2,水産49,2,19,1,22,水産43,
板橋市場,青果2,青果10,1,6,1,8,青果261,
板橋市場,花き1,花き7,1,6,1,8,花き569,
世田谷市場,青果1,青果7,0,9,1,10,青果223,
世田谷市場,花き2,花き6,0,9,1,10,花き1055,
北足立市場,青果1,青果14,0,9,2,11,青果326,
北足立市場,花き1,花き9,0,9,2,11,花き498,
多摩ニュータウン市場,青果1,青果3,0,0,1,1,青果42,
葛西市場,青果1,青果9,1,8,1,10,青果253,
葛西市場,花き1,花き6,1,8,1,10,花き643,
全市場計,水産10,水産576,30,244,41,315,水産350,
全市場計,青果15,青果329,30,244,41,315,青果3571,
全市場計,食肉1,食肉25,30,244,41,315,食肉160,
全市場計,花き7,花き46,30,244,41,315,花き4294,
,,,,,,,,注1流通補完業務とは、買荷保管業・運送業・冷蔵庫業をいう。
,,,,,,,,注2物販・飲食業務とは、用品販売業・関連食料品等販売業・その他販売業・飲食業をいう。
,,,,,,,,注3加工・サービス業務とは、取扱物品加工業・サービス提供業をいう。
