地域／市場,合計,合計構成比（％）,築地,築地構成比（％）,大田,大田構成比（％）,足立,足立構成比（％）,備考
合計,2564983,100.0,2396092,100.0,56202,100.0,112689,100.0,
都内計,1055788,41.2,981704,41.0,32320,57.5,41763,37.1,
23区計,886528,34.6,826284,34.5,22685,40.4,37560,33.3,
千代田区,15599,0.6,14260,0.6,674,1.2,665,0.6,
中央区,135260,5.3,126539,5.3,5996,10.7,2725,2.4,
港区,36029,1.4,34449,1.4,59,0.1,1521,1.3,
新宿区,28000,1.1,27364,1.1,572,1.0,65,0.1,
文京区,9900,0.4,9302,0.4,539,1.0,58,0.1,
台東区,39962,1.6,39128,1.6,16,0.0,818,0.7,
墨田区,11469,0.4,9271,0.4,117,0.2,2080,1.8,
江東区,143664,5.6,140562,5.9,1530,2.7,1572,1.4,
品川区,26372,1.0,24745,1.0,1198,2.1,429,0.4,
目黒区,16765,0.7,15820,0.7,932,1.7,13,0.0,
大田区,50678,2.0,41578,1.7,8420,15.0,680,0.6,
世田谷区,40217,1.6,39739,1.7,446,0.8,32,0.0,
渋谷区,37363,1.5,37075,1.5,159,0.3,130,0.1,
中野区,11615,0.5,11038,0.5,577,1.0,0,0.0,
杉並区,15908,0.6,15426,0.6,268,0.5,214,0.2,
豊島区,53118,2.1,49426,2.1,66,0.1,3626,3.2,
北区,16152,0.6,14139,0.6,7,0.0,2006,1.8,
荒川区,10255,0.4,8133,0.3,0,0.0,2123,1.9,
板橋区,20326,0.8,18646,0.8,0,0.0,1680,1.5,
練馬区,31660,1.2,31441,1.3,0,0.0,219,0.2,
足立区,89529,3.5,77065,3.2,109,0.2,12355,11.0,
葛飾区,20791,0.8,15756,0.7,716,1.3,4318,3.8,
江戸川区,24095,0.9,23582,1.0,282,0.5,231,0.2,
多摩地区計,161398,6.3,147559,6.2,9635,17.1,4204,3.7,
西多摩地域,6217,0.2,5655,0.2,237,0.4,325,0.3,
南多摩(1)地域,26443,1.0,22377,0.9,4065,7.2,0,0.0,
南多摩(2)地域,23719,0.9,22215,0.9,1504,2.7,0,0.0,
北多摩西部(1)地域,30879,1.2,30879,1.3,0,0.0,0,0.0,
北多摩西部(2)地域,6822,0.3,6457,0.3,365,0.6,0,0.0,
北多摩西部(3)地域,2086,0.1,2086,0.1,0,0.0,0,0.0,
北多摩南部地域,42373,1.7,41522,1.7,851,1.5,0,0.0,
北多摩北部地域,20501,0.8,14010,0.6,2612,4.6,3879,3.4,
島しょ部,2358,0.1,2358,0.1,0,0.0,0,0.0,
都外計,1485011,57.9,1390512,58.0,23844,42.4,70656,62.7,
北海道,0,0.0,0,0.0,0,0.0,0,0.0,
青森県,28,0.0,0,0.0,28,0.1,0,0.0,
岩手県,0,0.0,0,0.0,0,0.0,0,0.0,
宮城県,4330,0.2,4330,0.2,0,0.0,0,0.0,
秋田県,18117,0.7,18117,0.8,0,0.0,0,0.0,
山形県,23607,0.9,23607,1.0,0,0.0,0,0.0,
福島県,70820,2.8,70820,3.0,0,0.0,0,0.0,
茨城県,95327,3.7,88766,3.7,24,0.0,6537,5.8,
栃木県,46403,1.8,44018,1.8,59,0.1,2325,2.1,
群馬県,109494,4.3,108986,4.5,95,0.2,413,0.4,
埼玉県,250428,9.8,215220,9.0,3221,5.7,31987,28.4,
千葉県,316483,12.3,290595,12.1,867,1.5,25021,22.2,
神奈川県,387893,15.1,365386,15.2,18784,33.4,3723,3.3,
新潟県,9509,0.4,9509,0.4,0,0.0,0,0.0,
富山県,0,0.0,0,0.0,0,0.0,0,0.0,
石川県,0,0.0,0,0.0,0,0.0,0,0.0,
福井県,0,0.0,0,0.0,0,0.0,0,0.0,
山梨県,57100,2.2,57100,2.4,0,0.0,0,0.0,
長野県,15926,0.6,15926,0.7,0,0.0,0,0.0,
岐阜県,385,0.0,0,0.0,385,0.7,0,0.0,
静岡県,67082,2.6,66702,2.8,380,0.7,0,0.0,
愛知県,3944,0.2,3294,0.1,0,0.0,650,0.0,
三重県,0,0.0,0,0.0,0,0.0,0,0.0,
京都府,3294,0.1,3294,0.1,0,0.0,0,0.0,
大阪府,1344,0.1,1344,0.1,0,0.0,0,0.0,
兵庫県,3294,0.1,3294,0.1,0,0.0,0,0.0,
鳥取県,0,0.0,0,0.0,0,0.0,0,0.0,
広島県,0,0.0,0,0.0,0,0.0,0,0.0,
山口県,0,0.0,0,0.0,0,0.0,0,0.0,
香川県,0,0.0,0,0.0,0,0.0,0,0.0,
愛媛県,0,0.0,0,0.0,0,0.0,0,0.0,
福岡県,203,0.0,203,0.0,0,0.0,0,0.0,
長崎県,0,0.0,0,0.0,0,0.0,0,0.0,
熊本県,0,0.0,0,0.0,0,0.0,0,0.0,
大分県,0,0.0,0,0.0,0,0.0,0,0.0,
宮崎県,0,0.0,0,0.0,0,0.0,0,0.0,
鹿児島県,0,0.0,0,0.0,0,0.0,0,0.0,
沖縄県,0,0.0,0,0.0,0,0.0,0,0.0,
不明,24184,0.9,23876,1.0,38,0.1,270,0.2,
,,,,,,,,,（単位：kg）
