年度,総数,23区,多摩,都外,備考
H01,1111,854,0,257,
H04,1812,1113,20,678,
H07,2887,1867,38,972,
H10,2495,1386,67,1040,
H13,4838,1675,1669,1254,
H16,8796,4377,915,3046,
H21,6602,2070,351,4081,
,,,,,単位：千本
