取扱品目,市場名,所在地,緯度,経度,座標系,備考
水産物,東京都八王子魚市場地方卸売市場,八王子市北野町588番地１,35.651112,139.355556,JGD2011,
水産物,東京東久留米水産地方卸売市場,東久留米市下里五丁目12番12号,35.756458,139.497490,JGD2011,
水産物,府中大東京綜合地方卸売市場,府中市矢崎町四丁目１番地,35.658530,139.478691,JGD2011,
青果物,東京都練馬青果地方卸売市場,練馬区高野台二丁目１番18号,35.746482,139.624715,JGD2011,
青果物,東京都青梅青果地方卸売市場,青梅市藤橋三丁目７番地３,35.797323,139.303860,JGD2011,
青果物,東京都八王子北野地方卸売市場,八王子市北野町588番地２,35.651528,139.354938,JGD2011,
青果物,東京都国立地方卸売市場（拠点）,国立市谷保六丁目２番地１,35.674225,139.446894,JGD2011,
青果物,東京都東久留米地方卸売市場（拠点）,東久留米市下里六丁目４番１号,35.757700,139.496166,JGD2011,
花き,東京フロリネット多摩生花地方卸売市場,日野市石田435番地,35.678763,139.416672,JGD2011,
花き,八王子生花地方卸売市場,八王子市東浅川町501番地５,35.645543,139.299904,JGD2011,
花き,青梅インターフローラ地方卸売市場,青梅市今井五丁目2440番地32,35.791658,139.324147,JGD2011,
花き,第一花き立川地方卸売市場,立川市西砂町五丁目８番２号,35.731390,139.361907,JGD2011,
,,,,,,（注）市場名における「拠点」は、「地域拠点市場」を表している。
