部類別/年次,24,25,26,27,28,備考
水産物部取扱数量(トン),523547,514829,479424,463976,434290,
水産物部取扱数量指数,100.0,98.3,91.6,88.6,83.0,
水産物部金額(百万円),444192,448946,462273,467929,454699,
水産物部金額指数,100.0,101.1,104.1,105.3,102.4,
青果部取扱数量(トン),2090489,2074745,2077339,2035703,1993439,
青果部取扱数量指数,100.0,99.2,99.4,97.4,95.4,
青果部金額(百万円),524609,531670,541069,579275,599268,
青果部金額指数,100.0,101.3,103.1,110.4,114.2,
食肉部取扱数量(トン),83038,84446,87254,81599,77775,
食肉部取扱数量指数,100.0,101.7,105.1,98.3,93.7,
食肉部金額(百万円),96059,110152,122206,137341,139266,
食肉部金額指数,100.0,114.7,127.2,143.0,145.0,
花き部金額(百万円),86447,86178,85487,88368,89274,
花き部金額指数,100.0,99.7,98.9,102.2,103.3,
,,,,,,（注）１指数は、平成24年を100としたものである。
,,,,,,２花き部については、品目(切花・鉢物等）により取扱数量の単位が異なるため、金額のみ記載する。
