部類,0％業者数(社),0％業者割合(％),0％より大きく30％未満業者数(社),0％より大きく30％未満業者割合(％),30％以上100％未満業者数(社),30％以上100％未満業者割合(％),100％以上業者数(社),100％以上業者割合(％)
全体,102,10.4,186,18.9,435,44.3,259,26.4
水産物部,43,7.0,104,16.9,270,44.0,197,32.1
青果部,56,18.6,69,22.9,119,39.6,57,18.9
花き部,1,2.4,13,31.7,22,53.7,5,12.2
食肉部,2,7.7,0,0.0,24,92.3,0,0.0
