市場,種別,総数,大型トラック(積載量６トン以上),大型トラック(積載量６トン以上)比率（％）,中型トラック(積載量４～６トン未満),中型トラック(積載量４～６トン未満)比率（％）,小型トラック(積載量２～４トン未満),小型トラック(積載量２～４トン未満)比率（％）,積載量２トン未満の小型トラック,積載量２トン未満の小型トラック比率（％）,軽自動車(貨物用),軽自動車(貨物用)比率（％）,ライトバン・ワゴン車,ライトバン・ワゴン車比率（％）,乗用車,乗用車比率（％）,オートバイ自転車・小型特殊車,オートバイ自転車・小型特殊車比率（％）,鉄道・地下鉄バス,鉄道・地下鉄バス比率（％）,徒歩,徒歩比率（％）,不明,不明比率（％）,項目名,備考
築地,,2760,136,4.9,421,15.3,839,30.4,323,11.7,256,9.3,373,13.5,67,2.4,182,6.6,125,4.5,15,0.5,23,0.8,築地市場,
築地,水産物,2148,99,4.6,353,16.4,708,33.0,247,11.5,193,9.0,204,9.5,58,2.7,134,6.2,118,5.5,13,0.6,21,1.0,水産物,
築地,青果物,612,37,6.0,68,11.1,131,21.4,76,12.4,63,10.3,169,27.6,9,1.5,48,7.8,7,1.1,2,0.3,2,0.3,青果物,
大田,,1841,72,3.9,428,23.2,694,37.7,143,7.8,159,8.6,283,15.4,30,1.6,13,0.7,0,0.0,3,0.2,16,0.9,大田市場,
大田,水産物,328,2,0.6,20,6.1,128,39.0,33,10.1,71,21.6,43,13.1,17,5.2,8,2.4,0,0.0,2,0.6,4,1.2,水産物,
大田,青果物,1513,70,4.6,408,27.0,566,37.4,110,7.3,88,5.8,240,15.9,13,0.9,5,0.3,0,0.0,1,0.1,12,0.8,青果物,
豊島,,299,34,11.4,59,19.7,44,14.7,33,11.0,59,19.7,63,21.1,3,1.0,1,0.3,0,0.0,0,0.0,3,1.0,豊島市場,
淀橋,,614,28,4.6,78,12.7,151,24.6,113,18.4,74,12.1,160,26.1,3,0.5,1,0.2,0,0.0,0,0.0,6,1.0,淀橋市場,
足立,,601,1,0.2,71,11.8,107,17.8,47,7.8,92,15.3,152,25.3,90,15.0,38,6.3,0,0.0,2,0.3,1,0.2,足立市場,
板橋,,312,14,4.5,81,26.1,76,24.5,55,17.7,23,7.4,58,18.1,4,1.3,1,0.3,0,0.0,0,0.0,0,0.0,板橋市場,
世田谷,,122,1,0.8,3,2.5,19,15.6,32,26.2,9,7.4,58,47.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,世田谷市場,
北足立,,342,7,2.0,74,21.6,132,38.6,34,9.9,25,7.3,66,19.3,1,0.3,0,0.0,0,0.0,0,0.0,3,0.9,北足立市場,
多摩NT,,77,2,2.6,26,33.8,18,23.4,13,16.9,7,9.1,10,13.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3,多摩NT市場,
葛西,,448,12,2.7,90,20.1,120,26.8,90,20.1,40,8.9,90,20.1,4,0.9,0,0.0,0,0.0,0,0.0,2,0.4,葛西市場,
,水産物計,3077,102,3.3,444,14.4,943,30.6,327,10.6,356,11.6,399,13.0,165,5.4,180,5.8,118,3.8,17,0.6,26,0.8,水産物計,
,青果物計,4339,205,4.7,887,20.4,1257,29.0,556,12.8,388,8.9,914,21.1,37,0.9,56,1.3,7,0.2,3,0.1,29,0.7,青果物計,
