種別,水産,青果,食肉,花き,合計
構成比(％),31.1,50.0,7.2,11.7,100
売上高割使用料(％),66.9,45.2,47.7,33.3,50.8
面積割使用料(％),33.1,54.8,52.3,66.7,49.2
