市場,自己資本比率(％),借入金比率(％)
全体,22.3,42.8
北足立市場,9.3,38.1
大田市場,26.7,31.1
板橋市場,3.4,78.9
葛西市場,25.0,30.3
世田谷市場,33.9,34.7
