資産負債資本,科目,金額,金額単位,日付（何日現在）
資産の部,固定資産,538313,,
資産の部,有形固定資産,537981,,
資産の部,無形固定資産,8,,
資産の部,投資,324,,
資産の部,流動資産,189422,,
資産の部,現金・預金,176159,,
資産の部,未収金,12940,,
資産の部,貯蔵品,0,,
資産の部,前払金,303,,
資産の部,その他流動資産,20,,
資産の部,繰延勘定,14,,
資産の部,企業債発行差金,14,,
資産の部,合計,727749,,
負債及び資本の部,固定負債,199,,
負債及び資本の部,その他固定負債,199,,
負債及び資本の部,流動負債,60242,,
負債及び資本の部,未払金,58877,,
負債及び資本の部,未払消費税,120,,
負債及び資本の部,前受金,8,,
負債及び資本の部,預り金,1237,,
負債及び資本の部,負債計,60441,,
負債及び資本の部,資本金,510501,,
負債及び資本の部,自己資本金,402668,,
負債及び資本の部,借入資本金,107833,,
負債及び資本の部,剰余金,156807,,
負債及び資本の部,資本剰余金,57079,,
負債及び資本の部,利益剰余金,99728,,
負債及び資本の部,建設改良積立金,102716,,
負債及び資本の部,貸付資金積立金,3843,,
負債及び資本の部,当年度未処理欠損金,6831,,
負債及び資本の部,資本計,667308,,
負債及び資本の部,合計,727749,,
,,,（単位：百万円）,（平成２３年３月３１日）
