種別,市場,合計,都内23区,都内23区比率,都内多摩地区,都内多摩地区比率（％）,都内計,都内比率（％）,都外,都外比率（％）,不明,不明比率（％）,備考
野菜,築地,1022726,566161,17.9,52169,13.0,624592,17.5,383258,12.5,14876,18.2,
野菜,大田,2784964,1091421,34.6,193709,48.4,1289625,36.2,1466893,47.7,28446,34.8,
野菜,豊島,401500,202710,6.4,3133,0.8,205843,5.8,193625,6.3,2032,2.5,
野菜,淀橋,764105,382181,12.1,43935,11.0,426116,11.9,337273,11.0,715,0.9,
野菜,板橋,467100,180113,5.7,36487,9.1,216600,6.1,250011,8.1,489,0.6,
野菜,世田谷,211431,86787,2.8,25644,6.4,112431,3.2,99000,3.2,0,0.0,
野菜,北足立,549300,338330,10.7,18250,4.6,356580,10.0,162357,5.3,30363,37.1,
野菜,多摩ＮＴ,46872,1072,0.0,23479,5.9,24551,0.7,21669,0.7,652,0.8,
野菜,葛西,477300,306164,9.7,3790,0.9,309954,8.7,163061,5.3,4284,5.2,
野菜,計,6725298,3154939,100.0,400596,100.0,3566292,100.0,3077147,100.0,81857,100.0,
果物,築地,349454,154937,12.5,8567,4.7,163503,11.4,179104,11.7,6847,24.2,
果物,大田,1514816,560960,45.3,112891,61.5,678885,47.4,823300,53.9,12632,44.6,
果物,豊島,138100,73617,5.9,2211,1.2,75827,5.3,62068,4.1,205,0.7,
果物,淀橋,330448,127849,10.3,32655,17.8,164301,11.5,165680,10.8,467,1.6,
果物,板橋,167100,81804,6.6,13108,7.1,94912,6.6,72188,4.7,0,0.0,
果物,世田谷,44800,29911,2.4,1320,0.7,31231,2.2,13569,0.9,0,0.0,
果物,北足立,308200,125966,10.2,3921,2.1,129887,9.1,170129,11.1,8183,28.9,
果物,多摩ＮＴ,10325,43,0.0,8149,4.4,8191,0.6,2134,0.1,0,0.0,
果物,葛西,124000,83719,6.8,785,0.4,84504,5.9,39496,2.6,0,0.0,
果物,計,2987243,1238806,100.0,183607,100.0,1431241,100.0,1527668,100.0,28334,100.0,
牛,食肉,348348,137079,100.0,2058,100.0,139137,100.0,202051,100.0,7160,100.0,
牛,計,348348,137079,100.0,2058,100.0,139137,100.0,202051,100.0,7160,100.0,
豚,食肉,72921,41900,100.0,0,-,41900,100.0,31021,100.0,0,-,
豚,計,72921,41900,100.0,0,-,41900,100.0,31021,100.0,0,-,
,,,,,,,,,,,,,（単位：kg）
