事項,27年度,26年度,前期比(％)
総取扱金額（売上高）(万円),8376096,8226182,101.82
卸売業務数量(千本),1634832,1648275,99.18
卸売業務金額(万円),8208349,8067444,101.75
卸売業務受託物品数量(千本),1569998,1590256,98.73
卸売業務受託物品金額(万円),7632159,7724247,98.81
卸売業務買付物品数量(千本),64834,58019,111.75
卸売業務買付物品金額(万円),576190,343197,167.89
兼業業務金額(万円),167747,158738,105.68
売上総利益(万円),806134,793755,101.56
受託販売手数料(万円),733544,742270,98.82
買付販売利益(万円),32104,15390,208.60
兼業業務利益(万円),40486,36095,112.17
売上総利益率(％),9.62,9.65,
販売費及び一般管理費(万円),764764,746644,102.43
営業利益(万円),41370,47111,87.81
営業利益率(％),0.49,0.57,
経常利益(万円),54006,62068,87.01
経常利益率(％),0.64,0.75,
