品目,市場,都内23区今回,都内23区前回,都内23区前々回,多摩地区今回,多摩地区前回,多摩地区前々回,都外今回,都外前回,都外前々回
水産物,築地,34.5,43.7,31.4,6.2,8.8,8.9,58.0,42.2,59.0
水産物,大田,40.4,52.0,57.3,17.1,5.9,5.2,42.4,33.7,29.5
水産物,足立,33.3,40.9,11.5,3.7,6.4,2.9,62.7,52.6,85.5
水産物,計（水産物）,34.6,43.9,31.3,6.3,8.5,8.3,57.9,42.4,59.4
青果物,築地,52.6,61.9,30.5,4.4,4.9,4.2,41.0,32.0,60.7
青果物,大田,38.4,42.8,46.0,7.1,6.0,2.3,53.3,42.6,46.4
青果物,豊島,51.2,51.5,66.8,1.0,1.0,1.8,47.4,42.3,27.7
青果物,淀橋,46.6,56.8,47.0,7.0,11.2,9.5,46.0,28.1,40.4
青果物,板橋,41.3,45.7,36.6,7.8,5.3,11.8,50.8,47.6,51.3
青果物,世田谷,45.5,44.0,45.4,10.5,10.1,9.3,43.9,44.4,45.3
青果物,北足立,54.1,55.3,61.4,2.6,0.5,1.7,38.8,43.9,35.8
青果物,多摩ニュータウン,1.9,12.0,5.8,55.3,74.4,53.1,41.6,13.7,41.1
青果物,葛西,64.8,75.5,80.4,0.8,0.0,0.5,33.7,23.3,17.6
青果物,計（青果物）,45.2,50.1,47.6,6.0,6.6,5.1,47.4,38.5,43.8
畜産物,食肉市場,42.5,56.4,59.3,0.5,3.4,1.9,55.3,39.8,38.8
畜産物,計（畜産物）,42.5,56.4,59.3,0.5,3.4,1.9,55.3,39.8,38.8
切花,大田市場,23.9,59.5,15.6,4.5,6.7,66.8,69.7,32.0,17.6
切花,板橋市場,23.9,59.5,15.6,4.5,6.7,66.8,69.7,32.0,17.6
切花,北足立市場,35.1,50.5,47.2,0.0,0.9,0.0,64.9,47.7,45.4
切花,葛西市場,37.3,47.4,56.1,0.2,0.0,0.1,60.1,29.3,43.5
切花,世田谷市場,42.6,31.1,52.7,15.9,43.8,6.9,39.8,25.1,38.0
切花,計（切花）,31.4,49.8,34.6,5.3,10.4,38.2,61.8,34.6,25.9
鉢物,大田市場,16.5,30.3,23.5,3.5,9.8,6.6,78.3,59.2,69.9
鉢物,板橋市場,53.3,59.6,89.6,4.7,9.5,0.2,42.0,31.5,10.2
鉢物,北足立市場,25.1,36.0,16.9,0.0,0.0,0.0,74.2,60.7,83.1
鉢物,葛西市場,22.8,31.6,44.3,0.0,0.0,0.1,76.9,58.2,55.5
鉢物,世田谷市場,25.4,35.6,6.4,15.8,36.1,25.6,58.7,24.2,68.0
鉢物,計（鉢物）,21.9,31.7,25.5,5.7,10.8,9.2,71.4,54.8,65.6
