資産の部,資産の部(千円),負債及び純資産の部,負債及び純資産の部(千円)
(1)流動資産,11779062,(1)流動負債,7415921
現金,41997,受託販売未払金,5296981
預金,5639381,支払手形（受託）,0
売掛金,5882747,荷主預り金,116570
受取手形,0,（小計）,5413551
有価証券,0,買掛金（買付）,207008
親会社株式,0,支払手形（買付）,0
商品,0,預り金（買付）,0
貯蔵品,9777,（小計）,207008
前渡金,45,買掛金（その他）,219692
荷主前渡金,0,支払手形（その他）,0
前払費用,63418,短期借入金,542252
未収収益,636,未払金,340025
立替金,5460,未払税金,178474
短期貸付金,90793,未払費用,259929
未収金,15504,前受金,13764
仮払金,3053,預り金（その他）,56561
繰延税金資産,70266,前受収益,21024
その他,-9956,仮受金,14756
,,繰延税金負債,0
貸倒引当金,-34059,賞与引当金,99917
,,その他,48968
(2)固定資産,7746016,(2)固定負債,3202653
１有形固定資産,2048170,長期借入金,1461139
建物・設備等,6710543,預り保証金,1005557
土地,87752,長期繰延税金負債,0
建設仮勘定,105420,退職給付引当金,407855
減価償却累計額,-4855545,役員退職慰労引当金,186823
２無形固定資産,178183,その他,141279
３投資その他の資産,5519663,,
投資有価証券,424189,負債合計,10618574
子会社株式,643735,,
出資金,6560,(1)株主資本,8906504
子会社出資金,0,１資本金,2026000
長期貸付金,2850118,２新株式申込証拠金,0
開設者預託保証金,40500,３資本剰余金,502867
定期預金,181076,資本準備金,489450
長期前払費用,109523,その他資本剰余金,13417
事業者保険料,413090,４利益剰余金,6956870
長期繰延税金資産,170472,利益準備金,69003
その他,864436,その他利益剰余金,6887867
,,（うち繰越利益剰余金）,1848290
貸倒引当金,-184036,（うち当期純利益）,285678
,,５自己株式,-579233
(3)繰延資産,0,６自己株式申込証拠金,0
,,(2)評価・換算差額等,0
,,(3)新株予約権,0
,,純資産合計,8906504
資産合計,19525078,負債及び純資産合計,19525078
,,自己資本比率(％),45.6
,,流動比率(％),158.8
