地域／部類,水産物,水産物構成比（％）,青果物,青果物構成比（％）,野菜,野菜構成比（％）,果実,果実構成比（％）,畜産物,畜産物構成比（％）,牛,牛構成比（％）,豚,豚構成比（％）,切花,切花構成比（％）,鉢物,鉢物構成比（％）
合計,2564983,100.0,9712541,100.0,6725298,100.0,2987243,100.0,421269,100.0,348348,100.0,72921,100.0,6601945,100.0,758769,100.0
都内計,1055788,41.2,4997534,51.5,3566292,53.0,1431242,47.9,181037,43.0,139137,39.9,41900,57.5,2463804,37.3,209675,27.6
23区計,886528,34.6,4393743,45.2,3154938,46.9,1238805,41.5,178979,42.5,137079,39.4,41900,57.5,2069763,31.4,166250,21.9
千代田区,15599,0.6,85331,0.9,70523,1.0,14809,0.5,786,0.2,622,0.2,163,0.2,53091,0.8,1247,0.2
中央区,135260,5.3,217493,2.2,160044,2.4,57450,1.9,7519,1.8,7017,2.0,502,0.7,89538,1.4,2566,0.3
港区,36029,1.4,161265,1.7,121875,1.8,39390,1.3,17558,4.2,13002,3.7,4556,6.2,108388,1.6,5034,0.7
新宿区,28000,1.1,314269,3.2,246168,3.7,68101,2.3,1361,0.3,471,0.1,890,1.2,116773,1.8,4505,0.6
文京区,9900,0.4,58172,0.6,36043,0.5,22129,0.7,3957,0.9,1394,0.4,2563,3.5,72163,1.1,934,0.1
台東区,39962,1.6,130562,1.3,102920,1.5,27642,0.9,4343,1.0,3228,0.9,1115,1.5,64432,1.0,7542,1.0
墨田区,11469,0.4,109579,1.1,80471,1.2,29108,1.0,2473,0.6,412,0.1,2061,2.8,24389,0.4,2168,0.3
江東区,143664,5.6,208608,2.1,143865,2.1,64743,2.2,8266,2.0,2232,0.6,6034,8.3,52993,0.8,1801,0.2
品川区,26372,1.0,198879,2.0,144945,2.2,53934,1.8,19104,4.5,12935,3.7,6169,8.5,57459,0.9,9519,1.3
目黒区,16765,0.7,90424,0.9,61366,0.9,29058,1.0,4310,1.0,883,0.3,3427,4.7,50249,0.8,5603,0.7
大田区,50678,2.0,567050,5.8,392211,5.8,174839,5.9,42090,10.0,37231,10.7,4859,6.7,249545,3.8,13945,1.8
世田谷区,40217,1.6,260841,2.7,172638,2.6,88203,3.0,5598,1.3,3987,1.1,1611,2.2,218392,3.3,31789,4.2
渋谷区,37363,1.5,129550,1.3,86240,1.3,43309,1.4,9318,2.2,7842,2.3,1476,2.0,90740,1.4,1540,0.2
