区分,入荷数量総数,入荷数量野菜,入荷数量果実,入荷数量つけ物,入荷数量その他食料品,入荷数量鳥卵,売上金額総数,売上金額野菜,売上金額果実,売上金額つけ物,売上金額その他食料品,売上金額鳥卵
全市場,97.3,97.5,96.7,91.9,90.9,99.5,102.4,103.0,101.5,98.3,95.6,101.0
築地市場,97.6,96.6,101.0,95.0,91.4,99.7,103.0,102.4,105.0,101.4,91.8,100.2
大田市場,99.0,99.8,97.1,81.6,78.4,97.2,103.9,105.1,102.1,82.8,94.8,99.2
北足立市場,98.9,99.6,97.1,87.8,98.7,106.9,102.8,104.3,100.5,89.5,96.4,108.7
葛西市場,88.7,86.6,94.7,90.1,111.0,99.3,92.0,89.2,97.7,94.7,105.1,98.9
豊島市場,96.1,96.3,94.1,77.9,106.5,108.3,102.0,101.8,103.7,84.4,85.8,110.0
淀橋市場,97.2,97.8,94.7,100.4,105.7,100.6,101.8,102.4,100.6,98.4,98.5,101.9
板橋市場,92.3,91.6,94.4,79.2,113.9,93.3,98.6,99.5,96.1,94.5,114.4,106.9
世田谷市場,97.0,97.8,93.8,75.4,75.3,94.1,104.9,106.3,100.9,87.4,82.4,97.7
多摩ＮＴ市場,86.2,89.8,66.0,55.4,65.2,,92.5,98.3,73.6,46.0,85.2,
