業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,0,0,-,19,4,21.1,35,2,5.7,42,0,0.0,18,0,0.0,44,3,6.8,2,0,0.0
食料品等中心店,0,0,-,2,1,50.0,13,1,7.7,3,0,0.0,2,0,0.0,4,0,0.0,0,0,-
コンビニエンスストア,0,0,-,0,0,-,3,0,0.0,0,0,-,0,0,-,1,0,0.0,0,0,-
食料品スーパー,1,0,0.0,32,17,53.1,16,7,43.8,8,0,0.0,1,0,0.0,3,0,0.0,0,0,-
総合スーパー,0,0,-,7,4,57.1,1,1,100.0,0,0,-,0,0,-,0,0,-,0,0,-
百貨店,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,0,0.0,0,0,-
業務用,0,0,-,2,2,100.0,3,0,0.0,2,0,0.0,1,0,0.0,4,0,0.0,1,0,0.0
加工業者,0,0,-,1,0,0.0,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
問屋・納入業者,6,1,16.7,7,2,28.6,2,0,0.0,0,0,-,0,0,-,1,0,0.0,1,0,0.0
都内の中央卸売市場,0,0,-,4,1,25.0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
都内の地方卸売市場,0,0,-,1,0,0.0,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
都外の中央卸売市場,2,1,50.0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
都外の地方卸売市場,5,0,0.0,6,0,0.0,1,0,0.0,0,0,-,0,0,-,0,0,-,0,0,-
その他,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
不明,0,0,-,0,0,-,1,0,0.0,1,0,0.0,1,0,0.0,0,0,-,0,0,-
計,14,2,14.3,81,31,38.3,77,11,14.3,56,0,0.0,23,0,0.0,58,3,5.2,4,0,0.0
