地域／市場,合計,合計構成比（％）,築地市場,築地市場構成比（％）,大田市場,大田市場構成比（％）,豊島市場,豊島市場構成比（％）,淀橋市場,淀橋市場構成比（％）,板橋市場,板橋市場構成比（％）,世田谷市場,世田谷市場構成比（％）,北足立市場,北足立市場構成比（％）,多摩NT市場,多摩NT市場構成比（％）,葛西市場,葛西市場構成比（％）,備考
合計,6725298,100.0,1022726,100.0,2784964,100.0,401500,100.0,764105,100.0,467100,100.0,211431,100.0,549300,100.0,46872,100.0,477300,100.0,
都内計,3566292,53.0,624592,61.1,1289625,46.3,205843,51.3,426116,55.8,216600,46.4,112431,53.2,356580,64.9,24551,52.4,309954,64.9,
23区計,3154938,46.9,566161,55.4,1091421,39.2,202710,50.5,382181,50.0,180113,38.6,86787,41.0,338330,61.6,1072,2.3,306164,64.1,
千代田区,70523,1.0,20237,2.0,40348,1.4,898,0.2,2618,0.3,0,0.0,0,0.0,1593,0.3,210,0.4,4618,1.0,
中央区,160044,2.4,64627,6.3,72136,2.6,7422,1.8,4664,0.6,1929,0.4,0,0.0,1129,0.2,0,0.0,8136,1.7,
港区,121875,1.8,49551,4.8,56108,2.0,1105,0.3,7515,1.0,4703,1.0,0,0.0,510,0.1,62,0.1,2320,0.5,
新宿区,246168,3.7,76497,7.5,70380,2.5,11754,2.9,58812,7.7,11681,2.5,7903,3.7,8212,1.5,210,0.4,720,0.2,
文京区,36043,0.5,2468,0.2,15704,0.6,8888,2.2,1607,0.2,0,0.0,525,0.2,5583,1.0,0,0.0,1269,0.3,
台東区,102920,1.5,11549,1.1,29279,1.1,40837,10.2,686,0.1,0,0.0,0,0.0,16007,2.9,0,0.0,4562,1.0,
墨田区,80471,1.2,10053,1.0,39205,1.4,5418,1.3,2175,0.3,0,0.0,0,0.0,2243,0.4,0,0.0,21376,4.5,
江東区,143865,2.1,28930,2.8,64925,2.3,0,0.0,1237,0.2,0,0.0,0,0.0,5262,1.0,0,0.0,43512,9.1,
品川区,144945,2.2,52772,5.2,48936,1.8,0,0.0,36760,4.8,1368,0.3,0,0.0,0,0.0,0,0.0,5108,1.1,
目黒区,61366,0.9,9244,0.9,34150,1.2,1426,0.4,10728,1.4,0,0.0,4892,2.3,309,0.1,342,0.7,275,0.1,
大田区,392211,5.8,112201,11.0,238865,8.6,0,0.0,23262,3.0,0,0.0,9977,4.7,2413,0.4,0,0.0,5493,1.2,
世田谷区,172638,2.6,7691,0.8,95962,3.4,1077,0.3,18316,2.4,0,0.0,38216,18.1,8661,1.6,248,0.5,2467,0.5,
渋谷区,86240,1.3,16422,1.6,43102,1.5,820,0.2,16297,2.1,855,0.2,7041,3.3,387,0.1,0,0.0,1316,0.3,
中野区,97241,1.4,3833,0.4,22390,0.8,1105,0.3,60893,8.0,359,0.1,0,0.0,8661,1.6,0,0.0,0,0.0,
杉並区,90959,1.4,1418,0.1,15082,0.5,2474,0.6,40025,5.2,4293,0.9,18232,8.6,9434,1.7,0,0.0,0,0.0,
豊島区,105486,1.6,25528,2.5,28741,1.0,30232,7.5,12132,1.6,1801,0.4,0,0.0,4833,0.9,0,0.0,2219,0.5,
北区,49769,0.7,3031,0.3,5866,0.2,19409,4.8,4407,0.6,9492,2.0,0,0.0,7343,1.3,0,0.0,220,0.0,
荒川区,47221,0.7,5837,0.6,7605,0.3,7457,1.9,3744,0.5,1154,0.2,0,0.0,21411,3.9,0,0.0,11,0.0,
板橋区,172087,2.6,12676,1.2,26094,0.9,25572,6.4,11586,1.5,87061,18.6,0,0.0,8274,1.5,0,0.0,824,0.2,
練馬区,120056,1.8,3670,0.4,21623,0.8,3700,0.9,48999,6.4,35413,7.6,0,0.0,6650,1.2,0,0.0,0,0.0,
足立区,338071,5.0,16459,1.6,43553,1.6,32894,8.2,1853,0.2,19533,4.2,0,0.0,155380,28.3,0,0.0,68397,14.3,
葛飾区,124689,1.9,10772,1.1,34695,1.2,221,0.1,2821,0.4,470,0.1,0,0.0,20992,3.8,0,0.0,54718,11.5,
江戸川区,186738,2.8,19816,1.9,36670,1.3,0,0.0,8608,1.1,0,0.0,0,0.0,43042,7.8,0,0.0,78602,16.5,
多摩地区計,400595,6.0,52169,5.1,193709,7.0,3133,0.8,43935,5.7,36487,7.8,25644,12.1,18250,3.3,23479,50.1,3790,0.8,
西多摩地域,9123,0.1,376,0.0,0,0.0,0,0.0,1884,0.2,3159,0.7,2689,1.3,0,0.0,466,1.0,549,0.1,
南多摩(1)地域,35600,0.5,10908,1.1,12970,0.5,0,0.0,6701,0.9,0,0.0,0,0.0,0,0.0,5021,10.7,0,0.0,
南多摩(2)地域,104392,1.6,12526,1.2,76237,2.7,71,0.0,609,0.1,684,0.1,0,0.0,0,0.0,14264,30.4,0,0.0,
北多摩西部(1)地域,21167,0.3,0,0.0,15984,0.6,0,0.0,2122,0.3,200,0.0,0,0.0,464,0.1,1573,3.4,824,0.2,
北多摩西部(2)地域,55860,0.8,9545,0.9,13461,0.5,0,0.0,2922,0.4,28989,6.2,442,0.2,0,0.0,501,1.1,0,0.0,
北多摩西部(3)地域,6767,0.1,2505,0.2,0,0.0,0,0.0,3083,0.4,0,0.0,224,0.1,0,0.0,955,2.0,0,0.0,
北多摩南部地域,101722,1.5,15056,1.5,43382,1.6,1108,0.3,10609,1.4,2993,0.6,21360,10.1,4330,0.8,466,1.0,2417,0.5,
北多摩北部地域,64137,1.0,1253,0.1,31674,1.1,1953,0.5,14178,1.9,462,0.1,928,0.4,13455,2.4,233,0.5,0,0.0,
島しょ部,1828,0.0,0,0.0,0,0.0,0,0.0,1828,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
都外計,3077148,45.8,383258,37.5,1466893,52.7,193625,48.2,337273,44.1,250011,53.5,99000,46.8,162357,29.6,21669,46.2,163061,34.2,
北海道,66353,1.0,0,0.0,43907,1.6,0,0.0,12184,1.6,10262,2.2,0,0.0,0,0.0,0,0.0,0,0.0,
