地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,6601945,100.0,2139,100.0,3159124,100.0,1532,100.0,24038,100.0,13,100.0,0,-,0,-,55838,100.0,36,100.0,192913,100.0,29,100.0,2694,100.0,2,100.0,632409,100.0,179,100.0,643835,100.0,84,100.0,680656,100.0,84,100.0,56890,100.0,20,100.0,74661,100.0,10,100.0,130552,100.0,16,100.0,702972,100.0,57,100.0,202579,100.0,70,100.0,42784,100.0,7,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都内計,2463804,37.3,1275,59.6,1482573,46.9,990,64.6,9357,38.9,6,46.2,0,-,0,-,18904,33.9,23,63.9,29249,15.2,15,51.7,2694,100.0,2,100.0,361209,57.1,102,57.0,201015,31.2,37,44.0,163363,24.0,29,34.5,50661,89.1,18,90.0,49198,65.9,7,70.0,0,0.0,0,0.0,7624,1.1,3,5.3,50441,24.9,38,54.3,37518,87.7,5,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23区計,2069763,31.4,1071,50.1,1298576,41.1,827,54.0,7320,30.5,5,38.5,0,-,0,-,17700,31.7,21,58.3,12404,6.4,12,41.4,0,0.0,0,0.0,331886,52.5,94,52.5,74870,11.6,24,28.6,151327,22.2,25,29.8,49882,87.7,17,85.0,33623,45.0,5,50.0,0,0.0,0,0.0,7624,1.1,3,5.3,47034,23.2,33,47.1,37518,87.7,5,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千代田区,53091,0.8,24,1.1,34737,1.1,15,1.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18354,2.9,9,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,89538,1.4,24,1.1,25426,0.8,18,1.2,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,53296,8.4,4,2.2,2164,0.3,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8653,20.2,1,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,108388,1.6,50,2.3,93180,2.9,37,2.4,1631,6.8,1,7.7,0,-,0,-,926,1.7,1,2.8,0,0.0,0,0.0,0,0.0,0,0.0,11999,1.9,9,5.0,0,0.0,0,0.0,602,0.1,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50,0.0,1,1.4,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿区,116773,1.8,52,2.4,100158,3.2,42,2.7,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5023,0.8,4,2.2,4353,0.7,3,3.6,5246,0.8,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1993,1.0,2,2.9,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文京区,72163,1.1,36,1.7,58538,1.9,30,2.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,469,0.2,1,3.4,0,0.0,0,0.0,2624,0.4,3,1.7,3611,0.6,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,6922,9.3,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東区,64432,1.0,25,1.2,49526,1.6,16,1.0,0,0.0,0,0.0,0,-,0,-,140,0.3,1,2.8,469,0.2,1,3.4,0,0.0,0,0.0,3467,0.5,3,1.7,0,0.0,0,0.0,5452,0.8,2,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,187,0.1,1,1.4,5191,12.1,1,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨田区,24389,0.4,19,0.9,16907,0.5,12,0.8,0,0.0,0,0.0,0,-,0,-,252,0.5,2,5.6,785,0.4,2,6.9,0,0.0,0,0.0,949,0.2,1,0.6,158,0.0,1,1.2,5339,0.8,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
