区分,総数,平均価格,築地市場,足立市場,大田市場,構成比率総計比(％),構成比率種別比(％),構成比率部類別比(％)
総数数量(kg),30777424,,29063059,1114954,599411,100.0,,
総数金額(円),34415549580,1118,32448546289,1192933898,774069393,100.0,,
鮮魚数量(kg),11189338,,10759244,260335,169759,36.4,100.0,
鮮魚金額(円),12072593498,1079,11455359875,286323330,330910293,35.1,100.0,
まぐろ類総数数量(kg),919288,,852814,25904,40570,3.0,8.2,100.0
まぐろ類総数金額(円),1995420400,2171,1822740224,61139781,111540395,5.8,16.5,100.0
まぐろ類まぐろ（国内）数量(kg),425417,,383171,10048,32198,1.4,3.8,46.3
まぐろ類まぐろ（国内）金額(円),1166767021,2743,1041794852,29176118,95796051,3.4,9.7,58.5
まぐろ類まぐろ（輸入）数量(kg),89249,,79933,6574,2742,0.3,0.8,9.7
まぐろ類まぐろ（輸入）金額(円),251663161,2820,228561974,16191763,6909424,0.7,2.1,12.6
まぐろ類めじ数量(kg),42668,,42315,336,17,0.1,0.4,4.6
まぐろ類めじ金額(円),58767352,1377,58311896,437496,17960,0.2,0.5,2.9
まぐろ類きわだ（国内）数量(kg),154952,,151867,901,2184,0.5,1.4,16.9
まぐろ類きわだ（国内）金額(円),159632102,1030,156307315,834743,2490044,0.5,1.3,8.0
まぐろ類きわだ（輸入）数量(kg),27,,27,0,0,0.0,0.0,0.0
まぐろ類きわだ（輸入）金額(円),21870,810,21870,0,0,0.0,0.0,0.0
まぐろ類きめじ数量(kg),7971,,7971,0,0,0.0,0.1,0.9
まぐろ類きめじ金額(円),4834587,607,4834587,0,0,0.0,0.0,0.2
まぐろ類めばち（国内）数量(kg),23999,,21580,1722,697,0.1,0.2,2.6
まぐろ類めばち（国内）金額(円),49423710,2059,44126075,3751559,1546076,0.1,0.4,2.5
まぐろ類めばち（輸入）数量(kg),20092,,19107,985,0,0.1,0.2,2.2
まぐろ類めばち（輸入）金額(円),40160777,1999,38423610,1737167,0,0.1,0.3,2.0
まぐろ類だるま数量(kg),26644,,25821,309,514,0.1,0.2,2.9
まぐろ類だるま金額(円),26300985,987,25837763,169494,293728,0.1,0.2,1.3
まぐろ類びんなが数量(kg),23758,,23364,99,295,0.1,0.2,2.6
まぐろ類びんなが金額(円),25943066,1092,25327088,160380,455598,0.1,0.2,1.3
まぐろ類印度まぐろ国内数量(kg),67,,67,0,0,0.0,0.0,0.0
まぐろ類印度まぐろ国内金額(円),198094,2957,198094,0,0,0.0,0.0,0.0
まぐろ類印度まぐろ（輸入）数量(kg),104444,,97591,4930,1923,0.3,0.9,11.4
まぐろ類印度まぐろ（輸入）金額(円),211707675,2027,198995100,8681061,4031514,0.6,1.8,10.6
かじき類総数数量(kg),95206,,91944,2141,1121,0.3,0.9,100.0
かじき類総数金額(円),152209781,1599,147889581,2284389,2035811,0.4,1.3,100.0
かじき類まかじき数量(kg),1977,,1977,0,0,0.0,0.0,2.1
かじき類まかじき金額(円),1557170,788,1557170,0,0,0.0,0.0,1.0
かじき類めかじき数量(kg),92259,,88997,2141,1121,0.3,0.8,96.9
かじき類めかじき金額(円),150037132,1626,145716932,2284389,2035811,0.4,1.2,98.6
かじき類白皮かじき数量(kg),10,,10,0,0,0.0,0.0,0.0
かじき類白皮かじき金額(円),8100,810,8100,0,0,0.0,0.0,0.0
かじき類黒皮かじき数量(kg),685,,685,0,0,0.0,0.0,0.7
かじき類黒皮かじき金額(円),439882,642,439882,0,0,0.0,0.0,0.3
