区分,取扱頭数(頭),取扱頭数構成比(％),取扱重量(kg),取扱重量構成比(％),枝肉・部分肉取扱金額(円),枝肉・部分肉取扱金額構成比(％),副生物等取扱金額合計(円),副生物等内臓取扱金額(円),副生物等原皮取扱金額(円),副生物等その他取扱金額(円),取扱金額合計(円)
総数,24666.5,,5918685.0,,9374505039,,149824107,135997963,13791804,34340,9524329146
牛総数,10146.5,100.0,4753336.0,100.0,8686410817,100.0,138418427,127295867,11088220,34340,8824829244
和牛総数,5564.0,54.8,2646315.0,55.7,6183105974,71.2,92203539,84776027,7404372,23140,6275309513
和牛生体枝肉,4628.0,45.6,2276658.0,47.9,5546200871,63.8,92203539,84776027,7404372,23140,5638404410
和牛搬入枝肉,936.0,9.2,369657.0,7.8,636905103,7.3,0,0,0,0,636905103
交雑牛総数,3252.0,32.1,1701027.0,35.8,2260405149,26.0,45671268,42081245,3578958,11065,2306076417
交雑牛生体枝肉,2213.0,21.8,1176642.0,24.8,1545424089,17.8,45671268,42081245,3578958,11065,1591095357
交雑牛搬入枝肉,1039.0,10.2,524385.0,11.0,714981060,8.2,0,0,0,0,714981060
乳牛総数,1330.5,13.1,405994.0,8.5,242899694,2.8,543620,438595,104890,135,243443314
乳牛生体枝肉,27.0,0.3,12655.0,0.3,11530255,0.1,543620,438595,104890,135,12073875
乳牛搬入枝肉,1303.5,12.8,393339.0,8.3,231369439,2.7,0,0,0,0,231369439
牛国内部分肉,,,0.0,0.0,0,0.0,,,,,0
牛輸入部分肉,,,0.0,0.0,0,0.0,,,,,0
豚総数,14504.0,100.0,1162126.0,100.0,680180996,100.0,11405680,8702096,2703584,0,691586676
豚生体枝肉,13970.0,96.3,1097720.0,94.5,651490717,95.8,11405680,8702096,2703584,0,662896397
豚搬入枝肉,534.0,3.7,64406.0,5.5,28690279,4.2,0,0,0,0,28690279
豚国内部分肉,,,0.0,0.0,0,0.0,,,,,0
豚輸入部分肉,,,0.0,0.0,0,0.0,,,,,0
その他総数,16.0,,3223.0,,7913226,,0,0,0,0,7913226
その他馬総数,0.0,,0.0,,0,,0,0,0,0,0
その他馬生体枝肉,0.0,,0.0,,0,,0,0,0,0,0
その他馬搬入枝肉,0.0,,0.0,,0,,0,0,0,0,0
その他馬国内部分肉,,,0.0,,0,,,,,,0
その他こ牛総数,16.0,100.0,1969.0,100.0,806823,100.0,0,0,0,0,806823
その他こ牛生体枝肉,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
その他こ牛搬入枝肉,16.0,100.0,1969.0,100.0,806823,100.0,0,0,0,0,806823
その他こ牛国内部分肉,,,0.0,0.0,0,0.0,,,,,0
その他山羊緬羊総数,0.0,,0.0,,0,,0,0,0,0,0
その他山羊緬羊生体枝肉,0.0,,0.0,,0,,0,0,0,0,0
その他山羊緬羊搬入枝肉,0.0,,0.0,,0,,0,0,0,0,0
その他山羊緬羊国内部分肉,,,0.0,,0,,,,,,0
その他その他総数,,,1254.0,100.0,7106403,100.0,,,,,7106403
その他その他国内部分肉,,,0.0,0.0,0,0.0,,,,,0
その他その他輸入部分肉,,,0.0,0.0,0,0.0,,,,,0
その他その他加工品,,,0.0,0.0,0,0.0,,,,,0
その他その他その他,,,1254.0,100.0,7106403,100.0,,,,,7106403
輸入肉総数,0.0,,0.0,,0,,,,,,
牛生体枝肉,6868.0,67.7,3465955.0,72.9,7103155215,81.8,,,,,
牛搬入枝肉,3278.5,32.3,1287381.0,27.1,1583255602,18.2,,,,,
豚枝肉,14504.0,100.0,1162126.0,100.0,680180996,100.0,,,,,
