地域,合計搬出量,合計搬出量構成比（％）,合計台(人)数,合計台(人)数成比（％）,専門小売店搬出量,専門小売店構成比（％）,専門小売店台(人)数,専門小売店台(人)数成比（％）,食料品等中心店搬出量,食料品等中心店構成比（％）,食料品等中心店台(人)数,食料品等中心店台(人)数成比（％）,コンビニエンスストア搬出量,コンビニエンスストア構成比（％）,コンビニエンスストア台(人)数,コンビニエンスストア台(人)数成比（％）,食料品スーパー搬出量,食料品スーパー構成比（％）,食料品スーパー台(人)数,食料品スーパー台(人)数成比（％）,総合スーパー搬出量,総合スーパー構成比（％）,総合スーパー台(人)数,総合スーパー台(人)数成比（％）,百貨店搬出量,百貨店構成比（％）,百貨店台(人)数,百貨店台(人)数成比（％）,業務用搬出量,業務用構成比（％）,業務用台(人)数,業務用台(人)数成比（％）,加工業者搬出量,加工業者構成比（％）,加工業者台(人)数,加工業者台(人)数成比（％）,問屋・納入業者搬出量,問屋・納入業者構成比（％）,問屋・納入業者台(人)数,問屋・納入業者台(人)数成比（％）,都内中央卸売市場搬出量,都内中央卸売市場構成比（％）,都内中央卸売市場台(人)数,都内中央卸売市場台(人)数成比（％）,都内地方卸売市場搬出量,都内地方卸売市場構成比（％）,都内地方卸売市場台(人)数,都内地方卸売市場台(人)数成比（％）,都外中央卸売市場搬出量,都外中央卸売市場構成比（％）,都外中央卸売市場台(人)数,都外中央卸売市場台(人)数成比（％）,都外地方卸売市場搬出量,都外地方卸売市場構成比（％）,都外地方卸売市場台(人)数,都外地方卸売市場台(人)数成比（％）,その他搬出量,その他構成比（％）,その他台(人)数,その他台(人)数成比（％）,不明搬出量,不明構成比（％）,不明台(人)数,不明台(人)数成比（％）,備考,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合計,857500,100.0,448,100.0,181505,100.0,148,100.0,51018,100.0,41,100.0,1523,100.0,3,100.0,337617,100.0,100,100.0,170030,100.0,47,100.0,1624,100.0,2,100.0,31860,100.0,42,100.0,891,100.0,3,100.0,28385,100.0,29,100.0,25318,100.0,3,100.0,0,-,0,-,2941,100.0,1,100.0,21939,100.0,2,100.0,414,100.0,21,100.0,2436,100.0,6,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都内計,486468,56.7,261,58.3,95543,52.6,105,70.9,37099,72.7,24,58.5,1309,86.0,1,33.3,247500,73.3,64,64.0,46139,27.1,13,27.7,77,4.8,1,50.0,22033,69.2,29,69.0,839,94.2,2,66.7,9217,32.5,9,31.0,25115,99.2,2,66.7,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,178,43.1,9,42.9,1418,58.2,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23区計,464297,54.1,249,55.6,95543,52.6,105,70.9,29159,57.2,23,56.1,1309,86.0,1,33.3,233733,69.2,54,54.0,45675,26.9,12,25.5,77,4.8,1,50.0,22033,69.2,29,69.0,839,94.2,2,66.7,9217,32.5,9,31.0,25115,99.2,2,66.7,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,178,43.1,9,42.9,1418,58.2,2,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千代田区,1632,0.2,2,0.4,0,0.0,0,0.0,86,0.2,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1547,4.9,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央区,1188,0.1,4,0.9,938,0.5,2,1.4,86,0.2,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,164,0.5,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港区,550,0.1,2,0.4,464,0.3,1,0.7,86,0.2,1,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新宿区,9673,1.1,6,1.3,3514,1.9,2,1.4,0,0.0,0,0.0,0,0.0,0,0.0,5960,1.8,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,164,0.5,1,2.4,0,0.0,0,0.0,15,0.1,1,3.4,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,20,4.7,1,4.8,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文京区,6446,0.8,2,0.4,0,0.0,0,0.0,713,1.4,1,2.4,0,0.0,0,0.0,5733,1.7,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東区,20227,2.4,20,4.5,5206,2.9,11,7.4,1629,3.2,2,4.9,0,0.0,0,0.0,11014,3.3,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2230,7.0,4,9.5,0,0.0,0,0.0,129,0.5,1,3.4,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,20,4.7,1,4.8,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
墨田区,2409,0.3,4,0.9,2409,1.3,4,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,-,0,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
