市場,種別,総数,１時以前,１時以前比率（％）,２時台,２時台比率（％）,３時台,３時台比率（％）,４時台,４時台比率（％）,５時台,５時台比率（％）,６時台,６時台比率（％）,７時台,７時台比率（％）,８時台,８時台比率（％）,９時台,９時台比率（％）,１０時台,１０時台比率（％）,１１時台,１１時台比率（％）,１２時以降,１２時以降比率（％）,不明,不明比率（％）,項目名,備考
築地,,3768272,454250,12.1,235241,6.2,442808,11.8,260416,6.9,240707,6.4,209433,5.6,562319,14.9,479773,12.7,318874,8.5,259481,6.9,60414,1.6,188956,5.0,55599,1.5,築地市場,
築地,水産物,2396092,239678,10.0,189034,7.9,308563,12.9,173634,7.2,151400,6.3,151719,6.3,342218,14.3,239125,10.0,197025,8.2,149282,6.2,41663,1.7,173162,7.2,39588,1.7,水産物,
築地,青果物,1372180,214572,15.6,46207,3.4,134245,9.8,86782,6.3,89307,6.5,57714,4.2,220101,16.0,240648,17.5,121849,8.9,110199,8.0,18751,1.4,15794,1.2,16011,1.2,青果物,
大田,,4355982,316585,7.3,357434,8.2,436973,10.0,300375,6.9,666434,15.3,500840,11.5,304794,7.0,306626,7.0,458307,10.5,254626,5.8,92826,2.1,312037,7.2,48122,1.1,大田市場,
大田,水産物,56202,2129,3.8,1725,3.1,1215,2.2,1588,2.8,28129,50.0,8974,16.0,4601,8.2,1650,2.9,1009,1.8,954,1.7,2530,4.5,1378,2.5,318,0.6,水産物,
大田,青果物,4299780,314456,7.3,355709,8.3,435758,10.1,298787,6.9,638305,14.8,491866,11.4,300193,7.0,304976,7.1,457298,10.6,253672,5.9,90296,2.1,310659,7.2,47804,1.1,青果物,
豊島,,539600,30900,5.7,42672,7.9,136740,25.3,21022,3.9,66868,12.4,37537,7.0,65410,12.1,46997,8.7,14258,2.6,31294,5.8,11263,2.1,34061,6.3,578,0.1,豊島市場,
淀橋,,1094553,69839,6.4,99487,9.1,284618,26.0,95212,8.7,93744,8.6,80423,7.3,136890,12.5,110652,10.1,62429,5.7,28963,2.6,5107,0.5,25725,2.4,1464,0.1,淀橋市場,
足立,,112689,19,0.0,6525,5.8,5543,4.9,19574,17.4,26542,23.6,18629,16.5,12516,11.1,2703,2.4,5859,5.2,3315,2.9,2685,2.4,8777,7.8,0,0.0,足立市場,
板橋,,634200,1788,0.3,41708,6.6,33285,5.2,50436,8.0,57193,9.0,200307,31.6,70900,11.2,79410,12.5,31111,4.9,13172,2.1,1129,0.2,53760,8.5,0,0.0,板橋市場,
世田谷,,256231,53669,20.9,19163,7.5,10247,4.0,11218,4.4,40048,15.6,45169,17.6,39988,15.6,26673,10.4,7788,3.0,458,0.2,1811,0.7,0,0.0,0,0.0,世田谷市場,
北足立,,857500,51101,6.0,20429,2.4,34021,4.0,56853,6.6,249368,29.1,85821,10.0,91680,10.7,146145,17.0,76425,8.9,2190,0.3,762,0.1,41551,4.8,1153,0.1,北足立市場,
