地域／市場,合計,合計構成比（％）,食肉市場,食肉市場構成比（％）,備考,,,,,,,,,,,,,,,,
合計,348348,100.0,348348,100.0,,,,,,,,,,,,,,,,,
都内計,139137,39.9,139137,39.9,,,,,,,,,,,,,,,,,
23区計,137079,39.4,137079,39.4,,,,,,,,,,,,,,,,,
千代田区,622,0.2,622,0.2,,,,,,,,,,,,,,,,,
中央区,7017,2.0,7017,2.0,,,,,,,,,,,,,,,,,
港区,13002,3.7,13002,3.7,,,,,,,,,,,,,,,,,
新宿区,471,0.1,471,0.1,,,,,,,,,,,,,,,,,
文京区,1394,0.4,1394,0.4,,,,,,,,,,,,,,,,,
台東区,3228,0.9,3228,0.9,,,,,,,,,,,,,,,,,
墨田区,412,0.1,412,0.1,,,,,,,,,,,,,,,,,
江東区,2232,0.6,2232,0.6,,,,,,,,,,,,,,,,,
品川区,12935,3.7,12935,3.7,,,,,,,,,,,,,,,,,
目黒区,883,0.3,883,0.3,,,,,,,,,,,,,,,,,
大田区,37231,10.7,37231,10.7,,,,,,,,,,,,,,,,,
世田谷区,3987,1.1,3987,1.1,,,,,,,,,,,,,,,,,
渋谷区,7842,2.3,7842,2.3,,,,,,,,,,,,,,,,,
中野区,465,0.1,465,0.1,,,,,,,,,,,,,,,,,
杉並区,943,0.3,943,0.3,,,,,,,,,,,,,,,,,
豊島区,141,0.0,141,0.0,,,,,,,,,,,,,,,,,
北区,752,0.2,752,0.2,,,,,,,,,,,,,,,,,
荒川区,758,0.2,758,0.2,,,,,,,,,,,,,,,,,
板橋区,9795,2.8,9795,2.8,,,,,,,,,,,,,,,,,
練馬区,1282,0.4,1282,0.4,,,,,,,,,,,,,,,,,
足立区,30891,8.9,30891,8.9,,,,,,,,,,,,,,,,,
葛飾区,424,0.1,424,0.1,,,,,,,,,,,,,,,,,
江戸川区,373,0.1,373,0.1,,,,,,,,,,,,,,,,,
多摩地区計,2058,0.6,2058,0.6,,,,,,,,,,,,,,,,,
西多摩地域,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
南多摩(1)地域,281,0.1,281,0.1,,,,,,,,,,,,,,,,,
南多摩(2)地域,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
北多摩西部(1)地域,753,0.2,753,0.2,,,,,,,,,,,,,,,,,
北多摩西部(2)地域,86,0.0,86,0.0,,,,,,,,,,,,,,,,,
北多摩西部(3)地域,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
北多摩南部地域,64,0.0,64,0.0,,,,,,,,,,,,,,,,,
北多摩北部地域,873,0.3,873,0.3,,,,,,,,,,,,,,,,,
島しょ部,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
都外計,202051,58.0,202051,58.0,,,,,,,,,,,,,,,,,
北海道,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
青森県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
岩手県,750,0.2,750,0.2,,,,,,,,,,,,,,,,,
宮城県,6268,1.8,6268,1.8,,,,,,,,,,,,,,,,,
秋田県,362,0.1,362,0.1,,,,,,,,,,,,,,,,,
山形県,382,0.1,382,0.1,,,,,,,,,,,,,,,,,
福島県,129,0.0,129,0.0,,,,,,,,,,,,,,,,,
茨城県,2686,0.8,2686,0.8,,,,,,,,,,,,,,,,,
栃木県,13403,3.8,13403,3.8,,,,,,,,,,,,,,,,,
群馬県,317,0.1,317,0.1,,,,,,,,,,,,,,,,,
埼玉県,55316,15.9,55316,15.9,,,,,,,,,,,,,,,,,
千葉県,39372,11.3,39372,11.3,,,,,,,,,,,,,,,,,
神奈川県,39658,11.4,39658,11.4,,,,,,,,,,,,,,,,,
新潟県,8270,2.4,8270,2.4,,,,,,,,,,,,,,,,,
富山県,56,0.0,56,0.0,,,,,,,,,,,,,,,,,
石川県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
福井県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
山梨県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
長野県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
岐阜県,3644,1.0,3644,1.0,,,,,,,,,,,,,,,,,
静岡県,4082,1.2,4082,1.2,,,,,,,,,,,,,,,,,
愛知県,5640,1.6,5640,1.6,,,,,,,,,,,,,,,,,
三重県,2879,0.8,2879,0.8,,,,,,,,,,,,,,,,,
京都府,7572,2.2,7572,2.2,,,,,,,,,,,,,,,,,
大阪府,8251,2.4,8251,2.4,,,,,,,,,,,,,,,,,
兵庫県,731,0.2,731,0.2,,,,,,,,,,,,,,,,,
鳥取県,94,0.0,94,0.0,,,,,,,,,,,,,,,,,
広島県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
山口県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
香川県,197,0.1,197,0.1,,,,,,,,,,,,,,,,,
愛媛県,1992,0.6,1992,0.6,,,,,,,,,,,,,,,,,
福岡県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
長崎県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
熊本県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
大分県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
宮崎県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
鹿児島県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
沖縄県,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
不明,7160,2.1,7160,2.1,,,,,,,,,,,,,,,,,
,,,,,（単位：kg）,,,,,,,,,,,,,,,,
