業務用／車種,大型トラック（積載量６トン以上）搬出台数,大型トラック（積載量６トン以上）保冷機能有台数,大型トラック（積載量６トン以上）保冷機能有比率（％）,中型トラック（積載量４～６トン未満）搬出台数,中型トラック（積載量４～６トン未満）保冷機能有台数,中型トラック（積載量４～６トン未満）保冷機能有比率（％）,小型トラック（積載量２～４トン未満）搬出台数,小型トラック（積載量２～４トン未満）保冷機能有台数,小型トラック（積載量２～４トン未満）保冷機能有比率（％）,積載量２トン未満の小型トラック搬出台数,積載量２トン未満の小型トラック保冷機能有台数,積載量２トン未満の小型トラック保冷機能有比率（％）,軽自動車（貨物用）搬出台数,軽自動車（貨物用）保冷機能有台数,軽自動車（貨物用）保冷機能有比率（％）,ライトバン・ワゴン車搬出台数,ライトバン・ワゴン車保冷機能有台数,ライトバン・ワゴン車保冷機能有比率（％）,乗用車搬出台数,乗用車保冷機能有台数,乗用車保冷機能有比率（％）
専門小売店,12,12,100.0,64,50,78.1,199,141,70.9,101,35,34.7,138,40,29.0,107,9,8.4,20,0,0.0
食料品等中心店,1,1,100.0,13,10,76.9,79,68,86.1,14,7,50.0,27,4,14.8,19,0,0.0,5,0,0.0
コンビニエンスストア,0,0,-,0,0,-,1,1,100.0,1,1,100.0,0,0,-,3,0,0.0,1,0,0.0
食料品スーパー,3,3,100.0,66,50,75.8,199,173,86.9,33,26,78.8,18,8,44.4,15,2,13.3,5,0,0.0
総合スーパー,4,3,75.0,40,32,80.0,99,87,87.9,8,8,100.0,2,0,0.0,6,3,50.0,2,0,0.0
百貨店,2,2,100.0,19,13,68.4,42,37,88.1,7,5,71.4,3,1,33.3,4,0,0.0,0,0,-
業務用,3,3,100.0,25,22,88.0,234,192,82.1,109,63,57.8,144,50,34.7,193,25,13.0,109,4,3.7
加工業者,4,2,50.0,11,5,45.5,13,9,69.2,4,2,50.0,4,1,25.0,5,1,20.0,0,0,-
問屋・納入業者,4,4,100.0,49,43,87.8,48,40,83.3,20,15,75.0,11,4,36.4,20,2,10.0,0,0,-
都内の中央卸売市場,3,3,100.0,21,17,81.0,25,17,68.0,2,1,50.0,1,1,100.0,1,1,100.0,0,0,-
都内の地方卸売市場,2,1,50.0,9,9,100.0,17,12,70.6,6,6,100.0,2,1,50.0,3,2,66.7,1,0,0.0
都外の中央卸売市場,20,18,90.0,40,38,95.0,40,36,90.0,6,2,33.3,0,0,-,2,1,50.0,1,0,0.0
都外の地方卸売市場,24,22,91.7,62,53,85.5,45,33,73.3,22,19,86.4,3,3,100.0,1,0,0.0,1,0,0.0
その他,27,25,92.6,57,54,94.7,26,21,80.8,11,5,45.5,12,4,33.3,22,2,9.1,19,2,10.5
不明,0,0,-,6,5,83.3,8,3,37.5,6,1,16.7,7,1,14.3,5,0,0.0,1,0,0.0
計,109,99,90.8,482,401,83.2,1075,870,80.9,350,196,56.0,372,118,31.7,406,48,11.8,165,6,3.6
