部別,実施年,都内23区搬出量（kg）,都内23区比率（%）,都内多摩地区搬出量（kg）,都内多摩地区比率（%）,都外搬出量（kg）,都外比率（%）,計搬出量（kg）
水産物,51,1698110,50.0,282183,8.3,1414234,41.7,3394527
水産物,54,2283725,60.2,259276,6.8,1248754,32.9,3791755
水産物,58,203770,59.4,286770,8.3,1110099,32.3,3440639
水産物,61,1982848,58.0,317776,9.3,1116109,32.7,3416733
水産物,01,1905930,56.1,293231,8.6,1195559,35.2,3394720
水産物,04,1668054,59.1,282061,10.0,870285,30.9,2820400
水産物,07,1532139,53.9,298937,10.5,1000562,35.2,2844663
水産物,10,1248011,52.0,259935,10.8,878299,36.6,2400010
水産物,13,844262,313.3,215583,8.3,1540826,59.4,2592471
水産物,16,932583,43.9,181130,8.5,900734,42.4,2122432
水産物,21,886529,34.6,161398,6.3,1485012,57.9,2564983
青果物,51,5381432,65.5,480959,5.9,2355463,28.7,8217854
青果物,54,5431575,62.7,567029,6.5,2663215,30.7,8661819
青果物,58,6096418,61.2,778572,7.8,3081736,31.0,9956726
青果物,61,51519952,59.2,622528,6.7,3175731,34.1,9318209
青果物,01,5518796,63.6,591858,6.8,2572712,29.6,8683366
青果物,04,5264275,62.8,529061,6.3,2584038,30.8,8377374
青果物,07,4770562,58.9,521467,6.4,2785204,34.4,8096263
青果物,10,452591,57.2,529287,6.7,2880107,36.4,7911558
青果物,13,3938475,47.6,423138,5.1,3629086,43.8,8277838
青果物,16,2806300,50.1,368010,6.6,2155446,38.5,5598668
青果物,21,4393743,45.2,584201,6.0,4604815,47.4,9712541
畜産物,51,155099,71.2,5279,2.4,57327,26.3,217705
畜産物,54,181226,74.6,7417,3.1,54283,22.3,242926
畜産物,58,244044,78.1,8418,2.7,60030,19.2,312492
畜産物,61,176196,68.2,3240,1.3,78732,30.5,258168
畜産物,01,121974,65.2,6171,3.3,59008,31.5,187153
畜産物,04,223688,73.2,11348,3.7,70604,23.1,305640
畜産物,07,156705,63.9,9828,4.0,78644,32.1,245177
畜産物,10,159257,67.8,2268,1.0,73331,31.2,234856
畜産物,13,161571,59.3,5091,1.9,105735,38.8,272397
畜産物,16,218420,56.4,13017,3.4,154149,39.8,386933
畜産物,21,178979,42.5,2079,0.5,233072,55.3,421269
